Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	turn_list
3	3	5	zurich to saint gallen .	213	4	2	B	210, 212, 213	[210, 212, 213]
2	2	5	saint gallen to luzern .	276	2	1	B	275, 276	[275, 276]
4	4	4	saint gallen to davos	179	333	2	B	174, 176, 179, 506	[174, 176, 179, 506]
4	1	4	zurich to saint gallen	449	240	2	B	210, 212, 213, 449	[210, 212, 213, 449]
3	3	4	bern to basel .	323	312	2	B	12, 322, 323	[12, 322, 323]
3	3	4	go to bern .	144	5	2	B	140, 142, 144	[140, 142, 144]
2	2	4	neuchatel to interlaken .	415	384	1	A	32, 415	[32, 415]
12	10	3	to luzern .	188	471	1	B	31, 188, 258, 275, 276, 278, 332, 334, 336, 460, 499, 501	[31, 188, 258, 275, 276, 278, 332, 334, 336, 460, 499, 501]
8	5	3	to bern .	126	312	1	B	125, 126, 140, 142, 143, 144, 308, 436	[125, 126, 140, 142, 143, 144, 308, 436]
7	1	3	saint gallen to	177	333	2	B	174, 176, 177, 179, 275, 276, 506	[174, 176, 177, 179, 275, 276, 506]
6	3	3	saint gallen .	213	236	4	B	39, 145, 210, 212, 213, 274	[39, 145, 210, 212, 213, 274]
6	4	3	to interlaken .	32	401	1	B	15, 32, 127, 252, 355, 415	[15, 32, 127, 252, 355, 415]
5	1	3	to saint gallen	476	267	2	B	210, 212, 213, 449, 476	[210, 212, 213, 449, 476]
4	1	3	bern to basel	32	312	1	B	12, 32, 322, 323	[12, 32, 322, 323]
4	1	3	go to bern	434	295	2	B	140, 142, 144, 434	[140, 142, 144, 434]
4	4	3	go to zurich	307	309	2	B	145, 258, 307, 453	[145, 258, 307, 453]
4	4	3	mount davos to	182	203	1	B	80, 182, 188, 282	[80, 182, 188, 282]
4	1	3	to basel .	323	312	3	B	12, 167, 322, 323	[12, 167, 322, 323]
3	3	3	basel to zurich	211	314	1	B	210, 211, 523	[210, 211, 523]
3	3	3	bern to zurich	259	93	2	B	167, 169, 259	[167, 169, 259]
3	1	3	neuchatel to interlaken	417	386	1	A	32, 415, 417	[32, 415, 417]
2	2	3	interlaken to zermatt	486	2	1	B	485, 486	[485, 486]
2	2	3	mount bern .	10	9	1	B	2, 10	[2, 10]
2	2	3	to interlaken ,	357	235	1	B	123, 357	[123, 357]
2	2	3	to montreux .	344	94	1	A	251, 344	[251, 344]
2	2	3	to mount luzern	184	3	1	A	182, 184	[182, 184]
18	3	2	saint gallen	177	468	5	B	39, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 449, 476, 477, 506	[39, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 449, 476, 477, 506]
15	3	2	luzern .	188	471	2	B	31, 184, 188, 258, 262, 275, 276, 278, 332, 334, 336, 341, 460, 499, 501	[31, 184, 188, 258, 262, 275, 276, 278, 332, 334, 336, 341, 460, 499, 501]
14	5	2	to bern	32	406	1	B	31, 32, 100, 123, 125, 126, 140, 142, 143, 144, 253, 308, 434, 436	[31, 32, 100, 123, 125, 126, 140, 142, 143, 144, 253, 308, 434, 436]
13	1	2	to luzern	282	471	1	B	31, 188, 258, 275, 276, 278, 282, 332, 334, 336, 460, 499, 501	[31, 188, 258, 275, 276, 278, 282, 332, 334, 336, 460, 499, 501]
12	2	2	to zurich	211	444	5	B	80, 145, 167, 169, 210, 211, 258, 259, 301, 307, 453, 523	[80, 145, 167, 169, 210, 211, 258, 259, 301, 307, 453, 523]
11	1	2	bern .	137	435	1	B	2, 10, 125, 126, 137, 140, 142, 143, 144, 308, 436	[2, 10, 125, 126, 137, 140, 142, 143, 144, 308, 436]
10	3	2	bern to	12	349	1	A	7, 12, 32, 100, 167, 169, 259, 322, 323, 355	[7, 12, 32, 100, 167, 169, 259, 322, 323, 355]
10	1	2	to interlaken	450	436	1	B	15, 32, 123, 127, 252, 355, 357, 415, 417, 450	[15, 32, 123, 127, 252, 355, 357, 415, 417, 450]
8	2	2	interlaken .	18	401	2	B	15, 17, 18, 32, 127, 252, 355, 415	[15, 17, 18, 32, 127, 252, 355, 415]
8	8	2	luzern to	182	398	3	B	71, 123, 125, 182, 301, 340, 344, 468	[71, 123, 125, 182, 301, 340, 344, 468]
8	4	2	zurich to	100	404	1	B	57, 100, 210, 212, 213, 258, 449, 460	[57, 100, 210, 212, 213, 258, 449, 460]
7	3	2	basel .	13	357	1	B	12, 13, 19, 167, 322, 323, 368	[12, 13, 19, 167, 322, 323, 368]
7	4	2	basel to	32	509	1	B	15, 32, 210, 211, 335, 436, 523	[15, 32, 210, 211, 335, 436, 523]
7	1	2	gallen .	213	236	5	B	39, 71, 145, 210, 212, 213, 274	[39, 71, 145, 210, 212, 213, 274]
7	2	2	to basel	57	412	1	B	12, 32, 57, 167, 322, 323, 423	[12, 32, 57, 167, 322, 323, 423]
7	7	2	zurich .	263	243	2	A	211, 259, 263, 298, 301, 307, 453	[211, 259, 263, 298, 301, 307, 453]
6	2	2	to davos	468	336	2	B	174, 176, 179, 468, 506, 509	[174, 176, 179, 468, 506, 509]
6	4	2	to montreux	340	214	2	A	251, 335, 340, 344, 395, 464	[251, 335, 340, 344, 395, 464]
6	6	2	to neuchatel	32	381	1	B	22, 32, 42, 238, 251, 402	[22, 32, 42, 238, 251, 402]
6	4	2	to zermatt	253	305	1	A	182, 253, 380, 395, 485, 486	[182, 253, 380, 395, 485, 486]
5	3	2	mount bern	5	258	1	B	2, 5, 7, 10, 259	[2, 5, 7, 10, 259]
5	1	2	mount davos	228	203	1	B	80, 182, 188, 228, 282	[80, 182, 188, 228, 282]
5	2	2	neuchatel to	415	392	2	A	32, 251, 415, 417, 423	[32, 251, 415, 417, 423]
5	5	2	zermatt .	396	467	3	A	34, 182, 380, 396, 500	[34, 182, 380, 396, 500]
4	2	2	interlaken to	486	456	3	B	31, 42, 485, 486	[31, 42, 485, 486]
4	3	2	mount luzern	183	47	1	A	182, 183, 184, 228	[182, 183, 184, 228]
4	4	2	neuchatel .	416	375	3	B	42, 238, 402, 416	[42, 238, 402, 416]
3	1	2	montreux .	344	94	2	A	251, 337, 344	[251, 337, 344]
3	3	2	zermatt to	395	270	1	B	230, 395, 499	[230, 395, 499]
2	2	2	basel ,	434	110	1	B	325, 434	[325, 434]
2	2	2	bern ?	454	450	1	A	5, 454	[5, 454]
2	2	2	davos ,	468	290	1	A	179, 468	[179, 468]
2	2	2	montreux ,	465	126	1	B	340, 465	[340, 465]
2	2	2	mount zermatt	328	295	1	A	34, 328	[34, 328]
2	2	2	zurich ,	258	113	1	A	146, 258	[146, 258]
31	5	1	luzern	300	471	4	B	31, 71, 123, 125, 182, 183, 184, 188, 228, 258, 262, 275, 276, 278, 282, 300, 301, 332, 334, 335, 336, 340, 341, 342, 344, 460, 463, 464, 468, 499, 501	[31, 71, 123, 125, 182, 183, 184, 188, 228, 258, 262, 275, 276, 278, 282, 300, 301, 332, 334, 335, 336, 340, 341, 342, 344, 460, 463, 464, 468, 499, 501]
28	2	1	bern	253	453	1	B	2, 5, 7, 10, 12, 31, 32, 100, 123, 125, 126, 137, 140, 142, 143, 144, 167, 169, 253, 259, 308, 322, 323, 355, 356, 434, 436, 454	[2, 5, 7, 10, 12, 31, 32, 100, 123, 125, 126, 137, 140, 142, 143, 144, 167, 169, 253, 259, 308, 322, 323, 355, 356, 434, 436, 454]
23	2	1	zurich	39	517	1	A	7, 39, 57, 80, 100, 145, 146, 167, 169, 210, 211, 212, 213, 258, 259, 263, 298, 301, 307, 449, 453, 460, 523	[7, 39, 57, 80, 100, 145, 146, 167, 169, 210, 211, 212, 213, 258, 259, 263, 298, 301, 307, 449, 453, 460, 523]
21	3	1	gallen	177	470	6	B	39, 71, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 296, 449, 476, 477, 506, 508	[39, 71, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 296, 449, 476, 477, 506, 508]
20	2	1	basel	137	512	1	B	12, 13, 15, 19, 32, 57, 137, 167, 210, 211, 322, 323, 325, 326, 335, 368, 423, 434, 436, 523	[12, 13, 15, 19, 32, 57, 137, 167, 210, 211, 322, 323, 325, 326, 335, 368, 423, 434, 436, 523]
18	2	1	interlaken	100	472	2	B	15, 17, 18, 31, 32, 42, 100, 123, 127, 252, 355, 357, 380, 415, 417, 450, 485, 486	[15, 17, 18, 31, 32, 42, 100, 123, 127, 252, 355, 357, 380, 415, 417, 450, 485, 486]
16	9	1	montreux	251	228	1	B	238, 251, 252, 332, 334, 335, 336, 337, 340, 344, 392, 393, 395, 402, 464, 465	[238, 251, 252, 332, 334, 335, 336, 337, 340, 344, 392, 393, 395, 402, 464, 465]
14	2	1	zermatt	153	467	1	A	34, 153, 182, 230, 253, 328, 380, 381, 395, 396, 485, 486, 499, 500	[34, 153, 182, 230, 253, 328, 380, 381, 395, 396, 485, 486, 499, 500]
13	2	1	davos	476	430	3	B	80, 174, 176, 179, 182, 188, 228, 282, 468, 476, 478, 506, 509	[80, 174, 176, 179, 182, 188, 228, 282, 468, 476, 478, 506, 509]
