corpus_no,group_no,attempt_no,cost,abs_error,error,num_turn,num_action,duration,start,end,num_add,num_del,num_edit,freq_add,freq_del,num_histload,freq_histload,success
1,9,10,26.0,4.0,0.18181818181818182,2,14,58.91599999999971,1949.717,2000.4879999999998,1,1,2,0.5,0.5,1,1.0,False
1,9,11,24.0,2.0,0.09090909090909091,2,40,108.08100000000013,2019.695,2108.569,1,1,2,0.5,0.5,5,0.7142857142857143,False
1,9,12,29.0,7.0,0.3181818181818182,2,12,44.45600000000013,2119.45,2153.025,2,1,3,0.6666666666666666,0.33333333333333337,1,1.0,False
1,10,1,37.0,15.0,0.6818181818181818,7,48,437.102,0.204,437.306,12,0,12,1.0,0.0,0,-1.0,False
1,10,2,37.0,15.0,0.6818181818181818,1,27,53.62800000000004,453.94199999999995,490.934,0,0,0,-1.0,2.0,8,2.0,False
1,10,3,27.0,5.0,0.22727272727272727,5,17,111.161,508.288,602.095,9,0,9,1.0,0.0,0,-1.0,False
1,10,4,34.0,12.0,0.5454545454545454,6,16,82.6869999999999,619.2180000000001,684.7819999999999,10,0,10,1.0,0.0,0,-1.0,False
1,10,5,26.0,4.0,0.18181818181818182,5,18,127.19000000000005,708.076,811.972,9,0,9,1.0,0.0,0,-1.0,False
1,10,6,25.0,3.0,0.13636363636363635,5,15,72.72400000000005,829.2,884.696,9,0,9,1.0,0.0,0,-1.0,False
1,10,7,25.0,3.0,0.13636363636363635,5,15,57.69500000000005,901.666,942.3910000000001,9,0,9,1.0,0.0,0,-1.0,False
1,10,8,26.0,4.0,0.18181818181818182,5,15,83.94299999999976,952.875,1026.3339999999998,9,0,9,1.0,0.0,0,-1.0,False
1,10,9,26.0,4.0,0.18181818181818182,5,15,57.353000000000065,1043.5639999999999,1083.687,9,0,9,1.0,0.0,0,-1.0,False
1,10,10,26.0,4.0,0.18181818181818182,5,18,62.20100000000002,1093.9360000000001,1145.888,9,0,9,1.0,0.0,0,-1.0,False
1,10,11,27.0,5.0,0.22727272727272727,5,15,75.64900000000011,1165.333,1221.537,9,0,9,1.0,0.0,0,-1.0,False
1,10,12,32.0,10.0,0.45454545454545453,8,81,154.20399999999995,1257.633,1375.741,12,2,14,0.8571428571428571,0.1428571428571429,0,0.0,False
1,11,1,64.0,42.0,1.9090909090909092,11,40,254.681,0.371,255.05200000000002,20,0,20,1.0,0.0,0,-1.0,False
1,11,2,50.0,28.0,1.2727272727272727,9,40,151.92999999999995,267.131,406.98199999999997,5,10,15,0.3333333333333333,0.6666666666666667,5,0.7142857142857143,False
1,11,3,36.0,14.0,0.6363636363636364,7,18,82.66900000000004,420.092,489.651,12,0,12,1.0,0.0,0,-1.0,False
1,11,4,35.0,13.0,0.5909090909090909,7,21,97.368,503.42699999999996,587.019,12,0,12,1.0,0.0,1,-1.0,False
1,11,5,32.0,10.0,0.45454545454545453,7,21,68.79200000000003,598.347,655.811,11,1,12,0.9166666666666666,0.08333333333333337,0,-1.0,False
1,11,6,35.0,13.0,0.5909090909090909,7,35,114.582,665.48,770.393,12,1,13,0.9230769230769231,0.07692307692307687,0,0.0,False
1,11,7,29.0,7.0,0.3181818181818182,5,20,66.255,792.183,836.648,9,0,9,1.0,0.0,0,0.0,False
1,11,8,24.0,2.0,0.09090909090909091,5,22,65.96699999999998,850.3489999999999,902.615,9,0,9,1.0,0.0,0,0.0,False
1,11,9,31.0,9.0,0.4090909090909091,6,19,71.04600000000005,917.8580000000001,973.6610000000001,10,0,10,1.0,0.0,0,0.0,False
1,11,10,23.0,1.0,0.045454545454545456,5,55,316.4749999999999,982.925,1290.136,9,0,9,1.0,0.0,0,0.0,False
1,11,11,25.0,3.0,0.13636363636363635,6,39,273.08100000000013,1302.538,1563.217,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,11,12,,,,2,13,22.788999999999987,1576.5929999999998,1586.006,2,0,2,1.0,0.0,0,0.0,False
1,12,1,33.0,11.0,0.5,6,27,173.624,0.064,173.688,10,0,10,1.0,0.0,0,-1.0,False
1,12,2,37.0,15.0,0.6818181818181818,7,29,219.971,183.729,393.659,13,0,13,1.0,0.0,0,0.0,False
1,12,3,32.0,10.0,0.45454545454545453,9,42,327.28700000000003,394.694,720.946,14,3,17,0.8235294117647058,0.17647058823529416,0,0.0,False
1,12,4,25.0,3.0,0.13636363636363635,8,24,141.10799999999995,746.905,862.054,12,3,15,0.8,0.19999999999999996,0,0.0,False
1,12,5,23.0,1.0,0.045454545454545456,10,84,351.49900000000014,873.431,1213.553,14,5,19,0.7368421052631579,0.26315789473684215,0,0.0,False
1,12,6,25.0,3.0,0.13636363636363635,10,57,278.8149999999998,1221.395,1492.368,14,5,19,0.7368421052631579,0.26315789473684215,0,0.0,False
1,12,7,29.0,7.0,0.3181818181818182,6,54,210.79099999999994,1503.0910000000001,1703.1589999999999,10,0,10,1.0,0.0,0,0.0,False
1,12,8,26.0,4.0,0.18181818181818182,6,69,173.20900000000006,1710.6370000000002,1876.368,10,1,11,0.9090909090909091,0.09090909090909094,0,0.0,False
1,14,1,42.0,20.0,0.9090909090909091,7,29,184.16100000000003,0.188,184.34900000000002,13,0,13,1.0,0.0,0,-1.0,False
1,14,2,29.0,7.0,0.3181818181818182,10,33,286.818,215.322,471.167,10,7,17,0.5882352941176471,0.4117647058823529,2,0.6666666666666666,False
1,14,3,27.0,5.0,0.22727272727272727,12,60,837.337,481.26199999999994,1308.504,13,9,22,0.5909090909090909,0.40909090909090906,1,0.08333333333333333,False
1,14,4,25.0,3.0,0.13636363636363635,7,21,309.56500000000005,1317.504,1618.069,11,2,13,0.8461538461538461,0.15384615384615385,0,0.0,False
1,14,5,,,,5,23,155.14300000000026,1633.588,1773.2120000000002,5,3,8,0.625,0.375,5,1.25,False
1,15,1,29.0,7.0,0.3181818181818182,14,109,323.11199999999997,0.389,323.501,18,8,26,0.6923076923076923,0.3076923076923077,0,-1.0,False
1,15,2,29.0,7.0,0.3181818181818182,1,16,81.42900000000003,338.84,404.93,0,0,0,-1.0,2.0,2,0.6666666666666666,False
1,15,3,33.0,11.0,0.5,6,19,95.07400000000001,415.20599999999996,500.004,10,0,10,1.0,0.0,0,0.0,False
1,15,4,38.0,16.0,0.7272727272727273,12,38,214.2270000000001,512.174,714.2310000000001,17,6,23,0.7391304347826086,0.26086956521739135,0,0.0,False
1,15,5,32.0,10.0,0.45454545454545453,6,21,118.26499999999999,732.819,832.4960000000001,10,0,10,1.0,0.0,0,0.0,False
1,15,6,27.0,5.0,0.22727272727272727,7,22,226.90499999999997,844.2919999999999,1059.401,11,2,13,0.8461538461538461,0.15384615384615385,0,0.0,False
1,15,7,31.0,9.0,0.4090909090909091,22,76,489.45600000000013,1074.288,1548.8570000000002,27,16,43,0.627906976744186,0.37209302325581395,0,0.0,False
1,15,8,,,,8,21,172.20599999999968,1559.499,1721.0629999999999,11,5,16,0.6875,0.3125,0,0.0,False
1,16,1,29.0,7.0,0.3181818181818182,7,33,335.946,0.358,336.30400000000003,11,2,13,0.8461538461538461,0.15384615384615385,0,-1.0,False
1,16,2,24.0,2.0,0.09090909090909091,10,31,220.8329999999999,353.527,557.137,14,5,19,0.7368421052631579,0.26315789473684215,0,0.0,False
1,16,3,24.0,2.0,0.09090909090909091,14,35,272.98300000000006,571.423,830.12,18,9,27,0.6666666666666666,0.33333333333333337,0,0.0,False
1,16,4,22.0,0.0,0.0,24,72,441.015,843.1560000000001,1271.135,28,19,47,0.5957446808510638,0.4042553191489362,0,0.0,True
1,17,1,31.0,9.0,0.4090909090909091,6,26,223.957,0.311,224.268,10,0,10,1.0,0.0,0,-1.0,False
1,17,2,29.0,7.0,0.3181818181818182,7,20,120.92699999999999,238.19799999999998,345.195,11,1,12,0.9166666666666666,0.08333333333333337,0,0.0,False
1,17,3,27.0,5.0,0.22727272727272727,10,29,252.3,357.644,597.495,14,4,18,0.7777777777777778,0.2222222222222222,0,0.0,False
1,17,4,23.0,1.0,0.045454545454545456,10,25,204.77800000000002,625.14,802.273,14,5,19,0.7368421052631579,0.26315789473684215,0,-1.0,False
1,17,5,22.0,0.0,0.0,9,26,274.448,830.132,1076.721,13,4,17,0.7647058823529411,0.23529411764705888,0,0.0,True
1,18,1,32.0,10.0,0.45454545454545453,7,42,458.29200000000003,0.317,458.60900000000004,11,1,12,0.9166666666666666,0.08333333333333337,0,-1.0,False
1,18,2,32.0,10.0,0.45454545454545453,1,26,142.25599999999997,461.164,600.865,1,0,1,1.0,0.0,5,0.8333333333333334,False
1,18,3,26.0,4.0,0.18181818181818182,9,30,637.758,608.099,1238.623,13,4,17,0.7647058823529411,0.23529411764705888,0,0.0,False
1,18,4,27.0,5.0,0.22727272727272727,7,20,217.87699999999995,1276.336,1456.5,11,1,12,0.9166666666666666,0.08333333333333337,0,0.0,False
1,18,5,31.0,9.0,0.4090909090909091,8,29,379.32299999999987,1469.922,1835.8229999999999,12,2,14,0.8571428571428571,0.1428571428571429,0,0.0,False
1,19,1,31.0,9.0,0.4090909090909091,8,40,404.14,0.34600000000000003,404.486,13,2,15,0.8666666666666667,0.1333333333333333,0,-1.0,False
1,19,2,28.0,6.0,0.2727272727272727,7,35,350.644,418.048,755.13,6,7,13,0.46153846153846156,0.5384615384615384,4,0.6666666666666666,False
1,19,3,27.0,5.0,0.22727272727272727,8,24,204.13300000000004,763.455,959.263,12,3,15,0.8,0.19999999999999996,0,0.0,False
1,19,4,25.0,3.0,0.13636363636363635,7,24,232.15099999999995,976.296,1191.414,11,2,13,0.8461538461538461,0.15384615384615385,0,0.0,False
1,19,5,23.0,1.0,0.045454545454545456,3,99,200.0530000000001,1236.465,1391.467,2,2,4,0.5,0.5,37,2.0555555555555554,False
1,19,6,22.0,0.0,0.0,6,30,241.82299999999987,1404.638,1633.29,5,5,10,0.5,0.5,1,0.1111111111111111,True
