group_no,attempt_no,turn_no,num_action,duration,num_add,num_del,num_edit,freq_add,freq_del
7,9,56,2,18.121999999999957,2,0,2,1.0,0.0
7,9,57,2,4.068000000000097,2,0,2,1.0,0.0
7,9,58,2,7.665999999999826,2,0,2,1.0,0.0
7,9,59,2,4.900000000000091,2,0,2,1.0,0.0
7,9,60,7,7.004000000000019,1,0,1,1.0,0.0
7,10,60,2,34.749000000000024,2,0,2,1.0,0.0
7,10,61,2,6.567999999999984,2,0,2,1.0,0.0
7,10,62,2,11.543999999999983,2,0,2,1.0,0.0
7,10,63,2,5.376999999999953,2,0,2,1.0,0.0
7,10,64,10,19.4670000000001,1,0,1,1.0,0.0
7,11,64,2,30.98899999999992,2,0,2,1.0,0.0
7,11,65,2,19.930000000000064,2,0,2,1.0,0.0
7,11,66,2,22.520999999999958,2,0,2,1.0,0.0
7,11,67,2,12.570999999999913,2,0,2,1.0,0.0
7,11,68,7,4.674000000000092,1,0,1,1.0,0.0
7,12,68,2,14.619000000000028,2,0,2,1.0,0.0
7,12,69,2,14.187000000000012,2,0,2,1.0,0.0
7,12,70,2,12.36999999999989,2,0,2,1.0,0.0
7,12,71,2,9.354000000000042,2,0,2,1.0,0.0
7,12,72,7,12.470000000000027,1,0,1,1.0,0.0
7,13,72,2,33.40499999999997,2,0,2,1.0,0.0
7,13,73,2,3.8659999999999854,2,0,2,1.0,0.0
7,13,74,2,16.438000000000102,2,0,2,1.0,0.0
7,13,75,3,12.576000000000022,2,0,2,1.0,0.0
7,13,76,6,16.337999999999738,2,0,2,1.0,0.0
7,13,77,47,61.149000000000115,1,0,1,1.0,0.0
7,14,77,4,12.486000000000104,2,0,2,1.0,0.0
7,14,78,2,13.499000000000024,2,0,2,1.0,0.0
7,14,79,2,5.585999999999785,2,0,2,1.0,0.0
7,14,80,2,13.779999999999973,1,1,2,0.5,0.5
7,14,81,2,11.902000000000271,2,0,2,1.0,0.0
7,14,82,7,9.337999999999738,1,0,1,1.0,0.0
7,15,82,2,20.409000000000106,2,0,2,1.0,0.0
7,15,83,2,4.445999999999913,2,0,2,1.0,0.0
7,15,84,2,8.920000000000073,2,0,2,1.0,0.0
7,15,85,2,5.2020000000002256,2,0,2,1.0,0.0
7,15,86,10,27.096999999999753,1,0,1,1.0,0.0
7,16,86,2,36.35200000000009,2,0,2,1.0,0.0
7,16,87,2,13.033999999999878,2,0,2,1.0,0.0
7,16,88,2,9.028000000000247,2,0,2,1.0,0.0
7,16,89,2,6.026999999999816,2,0,2,1.0,0.0
7,16,90,7,12.666000000000167,1,0,1,1.0,0.0
7,17,90,2,21.5920000000001,2,0,2,1.0,0.0
7,17,91,2,5.875999999999749,2,0,2,1.0,0.0
7,17,92,2,22.228000000000065,2,0,2,1.0,0.0
7,17,93,2,10.686999999999898,2,0,2,1.0,0.0
7,17,94,12,12.249000000000251,1,0,1,1.0,0.0
7,18,94,4,24.325000000000045,2,0,2,1.0,0.0
7,18,95,2,4.843999999999824,2,0,2,1.0,0.0
7,18,96,2,21.77500000000009,2,0,2,1.0,0.0
7,18,97,2,7.01299999999992,2,0,2,1.0,0.0
7,18,98,7,8.707000000000107,1,0,1,1.0,0.0
7,19,98,1,17.016999999999825,0,0,0,-1.0,2.0
8,1,1,6,95.18,2,0,2,1.0,0.0
8,1,2,3,15.386999999999986,2,0,2,1.0,0.0
8,1,3,3,14.233000000000018,2,0,2,1.0,0.0
8,1,4,7,48.184999999999974,2,0,2,1.0,0.0
8,1,5,7,90.93700000000001,2,0,2,1.0,0.0
8,1,6,2,9.897999999999968,0,2,2,0.0,1.0
8,1,7,2,24.94100000000003,0,2,2,0.0,1.0
8,1,8,2,28.60899999999998,0,2,2,0.0,1.0
8,1,9,6,120.52700000000004,2,0,2,1.0,0.0
8,1,10,4,47.57299999999998,0,2,2,0.0,1.0
8,1,11,2,77.15999999999997,1,1,2,0.5,0.5
8,1,12,4,50.53800000000001,0,2,2,0.0,1.0
8,1,13,2,12.923000000000002,2,0,2,1.0,0.0
8,1,14,2,25.465000000000032,2,0,2,1.0,0.0
8,1,15,2,28.34699999999998,2,0,2,1.0,0.0
8,1,16,2,11.397000000000048,2,0,2,1.0,0.0
8,1,17,9,65.00999999999999,0,0,0,-1.0,2.0
8,2,17,6,62.81799999999987,2,0,2,1.0,0.0
8,2,18,2,24.623000000000047,2,0,2,1.0,0.0
8,2,19,2,27.22199999999998,2,0,2,1.0,0.0
8,2,20,2,6.193000000000097,2,0,2,1.0,0.0
8,2,21,7,28.67100000000005,1,0,1,1.0,0.0
8,3,21,4,101.84899999999993,2,0,2,1.0,0.0
8,3,22,2,3.73599999999999,2,0,2,1.0,0.0
8,3,23,2,13.470000000000027,2,0,2,1.0,0.0
8,3,24,2,7.298000000000002,2,0,2,1.0,0.0
8,3,25,7,7.3689999999999145,1,0,1,1.0,0.0
8,4,25,2,22.235000000000127,2,0,2,1.0,0.0
8,4,26,2,10.463999999999942,2,0,2,1.0,0.0
8,4,27,2,16.104000000000042,2,0,2,1.0,0.0
8,4,28,2,3.7549999999998818,2,0,2,1.0,0.0
8,4,29,7,4.778999999999996,1,0,1,1.0,0.0
8,5,29,2,41.45600000000013,2,0,2,1.0,0.0
8,5,30,2,6.880999999999858,2,0,2,1.0,0.0
8,5,31,2,10.314000000000078,2,0,2,1.0,0.0
8,5,32,2,5.020999999999958,2,0,2,1.0,0.0
8,5,33,10,23.30600000000004,1,0,1,1.0,0.0
8,6,33,28,78.90800000000013,2,0,2,1.0,0.0
8,6,34,2,7.388999999999896,2,0,2,1.0,0.0
8,6,35,2,18.942999999999984,2,0,2,1.0,0.0
8,6,36,2,3.4500000000000455,2,0,2,1.0,0.0
8,6,37,7,12.838999999999942,1,0,1,1.0,0.0
8,7,37,5,53.28899999999999,2,0,2,1.0,0.0
8,7,38,2,3.5549999999998363,2,0,2,1.0,0.0
8,7,39,2,15.149000000000342,2,0,2,1.0,0.0
8,7,40,2,17.20399999999995,2,0,2,1.0,0.0
8,7,41,2,5.931999999999789,2,0,2,1.0,0.0
8,7,42,6,8.432000000000016,0,0,0,-1.0,2.0
8,8,42,12,56.649000000000115,2,0,2,1.0,0.0
8,8,43,28,16.91899999999987,2,0,2,1.0,0.0
8,8,44,2,6.5150000000001,2,0,2,1.0,0.0
8,8,45,2,10.309999999999945,2,0,2,1.0,0.0
8,8,46,2,3.0249999999998636,2,0,2,1.0,0.0
8,8,47,6,6.132000000000289,0,0,0,-1.0,2.0
8,9,47,2,15.968999999999824,2,0,2,1.0,0.0
8,9,48,2,5.582000000000107,2,0,2,1.0,0.0
8,9,49,2,4.852999999999838,2,0,2,1.0,0.0
8,9,50,2,3.436000000000149,2,0,2,1.0,0.0
8,9,51,2,4.831000000000131,2,0,2,1.0,0.0
8,9,52,7,6.148999999999887,0,0,0,-1.0,2.0
9,1,1,15,183.374,1,1,2,0.5,0.5
9,1,2,2,20.685000000000002,2,0,2,1.0,0.0
9,1,3,2,46.018,1,1,2,0.5,0.5
