team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
17	0.311	0.311	1	1	1	R	shows	observe gesture
17	0.376	0.376	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
17	45.060	45.060	1	1	4	A	adds	Luzern-Zermatt (1-4)
17	54.197	54.197	1	1	7	R	shows	thinking gesture
17	54.232	54.232	1	1	8	R	says	(Hmm) I see.
17	55.155	55.155	1	1	9	A	adds	Luzern-Bern (1-3)
17	75.966	75.966	1	2	16	B	adds	Zermatt-Davos (4-9)
17	92.752	92.752	1	2	22	B	adds	Gallen-Davos (8-9)
17	99.731	99.731	1	3	25	A	adds	Zurich-Gallen (2-8)
17	106.959	106.959	1	3	27	A	presses	help (enabled)
17	109.070	109.070	1	3	29	B	presses	help (enabled)
17	165.369	165.369	1	3	34	A	adds	Basel-Zurich (0-2)
17	174.683	174.683	1	4	36	B	adds	Basel-Neuchatel (0-7)
17	184.349	184.349	1	4	38	B	adds	Montreux-Neuchatel (6-7)
17	189.148	189.148	1	5	40	A	adds	Interlaken-Montreux (5-6)
17	189.425	189.425	1	5	41	R	shows	observe gesture
17	204.074	204.074	1	5	43	A	adds	Zermatt-Interlaken (4-5)
17	214.900	214.900	1	6	45	B	presses	submit (enabled)
17	217.467	217.467	1	6	47	A	presses	submit (enabled)
17	217.574	217.574	1	6	48	T	submits	cost=31 (opt_cost=22)
17	217.785	217.785	1	6	49	R	shows	talking emotion
17	217.785	217.785	1	6	50	R	shows	up_left gesture
17	217.865	217.865	1	6	51	R	says	You are away from the minimum by 9 Francs. Let's Try again.
17	224.170	224.170	1	6	52	R	shows	talking emotion
17	224.171	224.171	1	6	53	R	shows	point_front gesture
17	224.268	224.268	1	6	54	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
17	238.198	238.198	2	6	56	A	presses	compare (enabled)
17	251.535	251.535	2	6	60	B	adds	Zermatt-Davos (4-9)
17	260.783	260.783	2	6	62	B	adds	Gallen-Davos (8-9)
17	269.403	269.403	2	7	64	A	adds	Zurich-Gallen (2-8)
17	278.968	278.968	2	7	66	A	adds	Luzern-Zurich (1-2)
17	279.197	279.197	2	8	67	R	shows	observe gesture
17	286.852	286.852	2	8	69	B	adds	Luzern-Bern (1-3)
17	292.300	292.300	2	8	71	B	adds	Basel-Bern (0-3)
17	298.260	298.260	2	9	73	A	adds	Basel-Neuchatel (0-7)
17	303.606	303.606	2	9	76	A	removes	Basel-Neuchatel (0-7)
17	323.899	323.899	2	10	78	B	adds	Basel-Neuchatel (0-7)
17	326.706	326.706	2	10	80	B	adds	Interlaken-Neuchatel (5-7)
17	332.663	332.663	2	11	82	A	adds	Interlaken-Montreux (5-6)
17	336.592	336.592	2	11	84	A	adds	Zermatt-Montreux (4-6)
17	344.659	344.659	2	12	86	A	presses	submit (enabled)
17	344.875	344.875	2	12	87	T	submits	cost=29 (opt_cost=22)
17	345.032	345.032	2	12	89	B	presses	submit (enabled)
17	345.106	345.106	2	12	90	R	shows	talking emotion
17	345.110	345.110	2	12	91	R	shows	up_left gesture
17	345.195	345.195	2	12	92	R	says	You are not that far from the minimum; the difference is only 7 Francs. I am sure you can do it.
17	357.644	357.644	3	12	94	A	presses	compare (enabled)
17	363.252	363.252	3	12	96	A	presses	previous (enabled)
17	387.562	387.562	3	12	101	B	adds	Basel-Bern (0-3)
17	393.276	393.276	3	12	103	B	adds	Basel-Zurich (0-2)
17	401.185	401.185	3	13	105	A	removes	Basel-Zurich (0-2)
17	402.994	402.994	3	13	107	A	removes	Basel-Bern (0-3)
17	413.932	413.932	3	14	109	B	adds	Zurich-Bern (2-3)
17	422.342	422.342	3	14	111	B	adds	Zurich-Gallen (2-8)
17	428.752	428.752	3	15	113	A	adds	Basel-Bern (0-3)
17	434.291	434.291	3	15	115	A	adds	Gallen-Davos (8-9)
17	455.782	455.782	3	16	117	B	adds	Luzern-Davos (1-9)
17	459.196	459.196	3	16	118	R	shows	observe gesture
17	465.244	465.244	3	16	120	B	adds	Luzern-Zermatt (1-4)
17	481.984	481.984	3	17	122	A	adds	Zermatt-Montreux (4-6)
17	484.260	484.260	3	17	124	A	adds	Interlaken-Montreux (5-6)
17	522.065	522.065	3	18	130	B	removes	Interlaken-Montreux (5-6)
17	534.438	534.438	3	18	132	B	adds	Montreux-Neuchatel (6-7)
17	539.609	539.609	3	19	134	A	adds	Basel-Neuchatel (0-7)
17	548.669	548.669	3	19	138	A	adds	Interlaken-Bern (5-3)
17	567.222	567.222	3	20	140	B	removes	Interlaken-Bern (5-3)
17	579.197	579.197	3	20	143	R	shows	thinking gesture
17	579.212	579.212	3	20	144	R	says	(Hmm) I see.
17	584.626	584.626	3	20	147	B	adds	Zermatt-Interlaken (4-5)
17	591.309	591.309	3	21	149	A	presses	submit (enabled)
17	597.210	597.210	3	21	150	T	submits	cost=27 (opt_cost=22)
17	597.402	597.402	3	21	151	R	shows	talking emotion
17	597.411	597.411	3	21	152	R	shows	up_left gesture
17	597.429	597.429	3	21	154	B	presses	submit (enabled)
17	597.495	597.495	3	21	155	R	says	You are away from the minimum by 5 Francs. Let's Try again.
17	625.140	625.140	4	21	158	A	adds	Gallen-Davos (8-9)
17	636.864	636.864	4	21	160	A	adds	Zermatt-Davos (4-9)
17	648.160	648.160	4	22	162	B	adds	Luzern-Zermatt (1-4)
17	657.676	657.676	4	22	164	B	adds	Luzern-Zurich (1-2)
17	662.514	662.514	4	23	166	A	adds	Zurich-Bern (2-3)
17	669.373	669.373	4	23	168	A	removes	Zurich-Bern (2-3)
17	679.065	679.065	4	24	170	B	adds	Basel-Zurich (0-2)
17	685.345	685.345	4	24	173	B	removes	Basel-Zurich (0-2)
17	688.834	688.834	4	25	176	A	adds	Zurich-Bern (2-3)
17	695.914	695.914	4	25	178	A	adds	Basel-Bern (0-3)
17	715.844	715.844	4	26	180	B	adds	Basel-Neuchatel (0-7)
17	724.125	724.125	4	26	183	B	removes	Basel-Neuchatel (0-7)
17	730.386	730.386	4	27	185	A	adds	Interlaken-Bern (5-3)
17	734.088	734.088	4	27	187	A	removes	Interlaken-Bern (5-3)
17	741.578	741.578	4	28	189	B	adds	Zermatt-Montreux (4-6)
17	751.373	751.373	4	28	191	B	adds	Interlaken-Montreux (5-6)
17	770.000	770.000	4	29	196	A	removes	Interlaken-Montreux (5-6)
17	775.363	775.363	4	29	198	A	adds	Montreux-Neuchatel (6-7)
17	784.265	784.265	4	30	200	B	adds	Interlaken-Neuchatel (5-7)
17	801.326	801.326	4	30	203	A	presses	submit (enabled)
17	801.751	801.751	4	30	204	T	submits	cost=23 (opt_cost=22)
17	801.931	801.931	4	30	206	B	presses	submit (enabled)
17	802.177	802.177	4	30	207	R	shows	talking emotion
17	802.178	802.178	4	30	208	R	shows	up_left gesture
17	802.273	802.273	4	30	209	R	says	You are away from the minimum by 1 Francs. Let's Try again.
17	830.132	830.132	5	30	211	B	adds	Luzern-Zermatt (1-4)
17	839.145	839.145	5	30	214	B	removes	Luzern-Zermatt (1-4)
17	846.676	846.676	5	31	216	A	adds	Zermatt-Davos (4-9)
17	879.486	879.486	5	31	218	A	removes	Zermatt-Davos (4-9)
17	881.339	881.339	5	32	220	A	presses	compare (enabled)
17	903.560	903.560	5	32	222	B	adds	Gallen-Davos (8-9)
17	910.542	910.542	5	32	224	B	adds	Luzern-Davos (1-9)
17	914.787	914.787	5	33	226	A	adds	Luzern-Zermatt (1-4)
17	940.415	940.415	5	33	233	A	adds	Luzern-Zurich (1-2)
17	952.170	952.170	5	34	235	B	adds	Zurich-Bern (2-3)
17	977.048	977.048	5	34	238	B	adds	Interlaken-Bern (5-3)
17	981.042	981.042	5	35	240	A	removes	Interlaken-Bern (5-3)
17	987.625	987.625	5	35	242	B	presses	compare (enabled)
17	1001.002	1001.002	5	35	244	A	adds	Basel-Bern (0-3)
17	1001.130	1001.130	5	36	246	B	presses	previous (enabled)
17	1026.437	1026.437	5	36	248	B	adds	Zermatt-Montreux (4-6)
17	1042.939	1042.939	5	36	250	B	adds	Montreux-Neuchatel (6-7)
17	1053.229	1053.229	5	37	253	A	adds	Interlaken-Bern (5-3)
17	1060.036	1060.036	5	37	255	A	removes	Interlaken-Bern (5-3)
17	1068.604	1068.604	5	38	257	B	adds	Zermatt-Interlaken (4-5)
17	1074.735	1074.735	5	38	259	A	presses	submit (enabled)
17	1076.489	1076.489	5	38	260	T	submits	cost=22 (opt_cost=22)
17	1076.621	1076.621	5	38	262	B	presses	submit (enabled)
17	1076.671	1076.671	5	38	263	R	shows	happy gesture
