team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
11	0.371	0.371	1	1	1	R	shows	observe gesture
11	0.452	0.452	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
11	54.193	54.193	1	1	11	R	shows	thinking gesture
11	54.241	54.241	1	1	12	R	says	(Hmm) I see.
11	72.234	72.234	1	1	18	A	adds	Basel-Bern (0-3)
11	90.995	90.995	1	1	20	A	adds	Basel-Neuchatel (0-7)
11	96.337	96.337	1	2	23	A	presses	submit (disabled)
11	99.192	99.192	1	2	26	R	shows	observe gesture
11	99.685	99.685	1	2	27	B	adds	Montreux-Neuchatel (6-7)
11	105.628	105.628	1	2	31	B	adds	Interlaken-Montreux (5-6)
11	133.335	133.335	1	3	34	A	adds	Zermatt-Interlaken (4-5)
11	136.889	136.889	1	3	36	A	adds	Zermatt-Davos (4-9)
11	159.192	159.192	1	4	46	R	shows	thinking gesture
11	159.207	159.207	1	4	47	R	says	(Hmm) I see.
11	163.351	163.351	1	4	50	B	adds	Luzern-Davos (1-9)
11	164.680	164.680	1	4	52	B	adds	Luzern-Bern (1-3)
11	169.583	169.583	1	5	54	A	adds	Gallen-Davos (8-9)
11	171.610	171.610	1	5	56	A	adds	Zurich-Gallen (2-8)
11	171.792	171.792	1	6	57	R	shows	observe gesture
11	177.244	177.244	1	6	60	A	presses	submit (enabled)
11	179.686	179.686	1	6	61	B	adds	Zurich-Bern (2-3)
11	184.384	184.384	1	6	63	B	adds	Interlaken-Bern (5-3)
11	191.701	191.701	1	7	66	B	presses	submit (enabled)
11	200.087	200.087	1	7	70	A	adds	Zurich-Davos (2-9)
11	202.729	202.729	1	7	72	A	adds	Luzern-Zermatt (1-4)
11	209.506	209.506	1	8	75	B	adds	Interlaken-Neuchatel (5-7)
11	216.074	216.074	1	8	78	B	adds	Neuchatel-Bern (7-3)
11	221.288	221.288	1	9	82	A	adds	Zermatt-Montreux (4-6)
11	223.280	223.280	1	9	84	A	adds	Luzern-Zurich (1-2)
11	226.422	226.422	1	10	86	B	adds	Basel-Zurich (0-2)
11	233.877	233.877	1	10	92	B	adds	Luzern-Interlaken (1-5)
11	244.722	244.722	1	11	96	A	presses	submit (enabled)
11	248.117	248.117	1	11	97	T	submits	cost=64 (opt_cost=22)
11	248.282	248.282	1	11	98	R	shows	talking emotion
11	248.283	248.283	1	11	99	R	shows	up_left gesture
11	248.393	248.393	1	11	100	R	says	You are away from the minimum by 42 Francs. Let's Try again.
11	248.415	248.415	1	11	102	B	presses	submit (enabled)
11	254.955	254.955	1	11	103	R	shows	talking emotion
11	254.956	254.956	1	11	104	R	shows	point_front gesture
11	255.052	255.052	1	11	105	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
11	267.131	267.131	2	11	109	B	presses	compare (enabled)
11	270.498	270.498	2	11	111	B	presses	apply (enabled)
11	270.508	270.508	2	11	112	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	272.159	272.159	2	11	114	B	presses	apply (enabled)
11	272.169	272.169	2	11	115	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	274.007	274.007	2	11	118	B	presses	compare (enabled)
11	274.339	274.339	2	11	120	B	presses	apply (enabled)
11	274.349	274.349	2	11	121	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	279.192	279.192	2	11	123	R	shows	observe gesture
11	280.800	280.800	2	11	125	B	presses	compare (enabled)
11	283.422	283.422	2	11	128	A	removes	Zermatt-Davos (4-9)
11	284.320	284.320	2	11	131	B	presses	compare (enabled)
11	288.708	288.708	2	11	134	A	adds	Zermatt-Davos (4-9)
11	291.265	291.265	2	12	137	A	presses	compare (enabled)
11	294.795	294.795	2	12	139	B	removes	Luzern-Zermatt (1-4)
11	299.240	299.240	2	12	143	A	presses	apply (enabled)
11	299.250	299.250	2	12	144	A	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
11	300.489	300.489	2	12	146	A	presses	apply (enabled)
11	300.679	300.679	2	12	148	A	presses	compare (enabled)
11	322.144	322.144	2	12	156	B	removes	Zurich-Bern (2-3)
11	323.980	323.980	2	13	159	B	removes	Luzern-Zurich (1-2)
11	327.520	327.520	2	14	161	A	removes	Luzern-Bern (1-3)
11	328.835	328.835	2	14	163	A	removes	Luzern-Interlaken (1-5)
11	332.985	332.985	2	15	167	B	removes	Zurich-Davos (2-9)
11	335.234	335.234	2	15	173	A	presses	compare (enabled)
11	344.248	344.248	2	15	177	B	removes	Zermatt-Interlaken (4-5)
11	354.552	354.552	2	16	181	A	adds	Zurich-Bern (2-3)
11	360.889	360.889	2	16	185	A	adds	Luzern-Zurich (1-2)
11	365.132	365.132	2	17	187	A	presses	submit (enabled)
11	381.386	381.386	2	17	196	A	presses	submit (enabled)
11	388.116	388.116	2	17	200	B	removes	Luzern-Zermatt (1-4)
11	394.813	394.813	2	17	204	B	removes	Luzern-Davos (1-9)
11	400.113	400.113	2	18	208	A	adds	Zermatt-Interlaken (4-5)
11	401.719	401.719	2	18	210	A	adds	Luzern-Zermatt (1-4)
11	404.917	404.917	2	19	213	B	presses	submit (enabled)
11	406.611	406.611	2	19	215	A	presses	submit (enabled)
11	406.751	406.751	2	19	216	T	submits	cost=50 (opt_cost=22)
11	406.926	406.926	2	19	217	R	shows	talking emotion
11	406.926	406.926	2	19	218	R	shows	up_left gesture
11	406.982	406.982	2	19	219	R	says	You are not that far from the minimum; the difference is only 28 Francs. I am sure you can do it.
11	420.092	420.092	3	19	221	B	adds	Montreux-Neuchatel (6-7)
11	421.340	421.340	3	19	223	B	adds	Basel-Neuchatel (0-7)
11	426.795	426.795	3	20	225	A	adds	Zermatt-Montreux (4-6)
11	428.847	428.847	3	20	227	A	adds	Zermatt-Davos (4-9)
11	431.687	431.687	3	21	231	B	adds	Gallen-Davos (8-9)
11	432.662	432.662	3	21	234	B	adds	Zurich-Gallen (2-8)
11	436.177	436.177	3	22	237	A	adds	Basel-Zurich (0-2)
11	438.648	438.648	3	22	239	A	adds	Zurich-Bern (2-3)
11	443.032	443.032	3	23	245	B	adds	Interlaken-Bern (5-3)
11	457.159	457.159	3	23	250	B	adds	Zermatt-Interlaken (4-5)
11	459.376	459.376	3	24	252	A	adds	Luzern-Zermatt (1-4)
11	460.493	460.493	3	24	254	A	adds	Luzern-Bern (1-3)
11	488.234	488.234	3	25	276	A	presses	submit (enabled)
11	489.314	489.314	3	25	278	T	submits	cost=36 (opt_cost=22)
11	489.492	489.492	3	25	279	R	shows	talking emotion
11	489.492	489.492	3	25	280	R	shows	up_left gesture
11	489.575	489.575	3	25	281	R	says	You are not that far from the minimum; the difference is only 14 Francs. I am sure you can do it.
11	489.651	489.651	3	25	283	B	presses	submit (enabled)
11	503.427	503.427	4	25	289	B	adds	Montreux-Neuchatel (6-7)
