team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
15	1493.902	1493.902	7	60	780	A	presses	previous (enabled)
15	1495.927	1495.927	7	60	782	A	presses	compare (enabled)
15	1495.976	1495.976	7	60	783	A	presses	next (enabled)
15	1498.480	1498.480	7	60	786	B	removes	Zermatt-Interlaken (4-5)
15	1502.361	1502.361	7	61	789	A	adds	Luzern-Bern (1-3)
15	1516.054	1516.054	7	61	791	A	adds	Basel-Bern (0-3)
15	1520.234	1520.234	7	62	793	A	presses	compare (enabled)
15	1531.770	1531.770	7	62	798	B	adds	Interlaken-Bern (5-3)
15	1539.735	1539.735	7	62	801	A	presses	compare (enabled)
15	1545.237	1545.237	7	62	803	B	presses	submit (enabled)
15	1547.954	1547.954	7	62	804	T	submits	cost=31 (opt_cost=22)
15	1548.331	1548.331	7	62	806	A	presses	submit (enabled)
15	1548.734	1548.734	7	62	807	R	shows	talking emotion
15	1548.734	1548.734	7	62	808	R	shows	up_left gesture
15	1548.857	1548.857	7	62	809	R	says	You are away from the minimum by 9 Francs. Let's Try again.
15	1559.499	1559.499	8	62	811	A	presses	compare (enabled)
15	1572.233	1572.233	8	62	814	A	presses	compare (enabled)
15	1576.650	1576.650	8	62	816	B	presses	help (enabled)
15	1587.735	1587.735	8	62	819	A	presses	compare (enabled)
15	1602.397	1602.397	8	62	826	B	adds	Zermatt-Davos (4-9)
15	1603.194	1603.194	8	62	828	B	adds	Gallen-Davos (8-9)
15	1608.597	1608.597	8	63	831	A	adds	Zermatt-Montreux (4-6)
15	1623.127	1623.127	8	63	839	A	removes	Zermatt-Montreux (4-6)
15	1627.827	1627.827	8	64	844	B	adds	Zermatt-Montreux (4-6)
15	1654.095	1654.095	8	64	854	B	adds	Luzern-Zermatt (1-4)
15	1658.719	1658.719	8	65	857	A	removes	Luzern-Zermatt (1-4)
15	1660.285	1660.285	8	65	859	A	adds	Luzern-Davos (1-9)
15	1663.489	1663.489	8	66	861	B	removes	Luzern-Davos (1-9)
15	1668.148	1668.148	8	66	864	B	adds	Interlaken-Montreux (5-6)
15	1680.635	1680.635	8	67	867	A	adds	Luzern-Zermatt (1-4)
15	1688.990	1688.990	8	67	869	A	adds	Luzern-Bern (1-3)
15	1700.581	1700.581	8	68	878	A	presses	compare (enabled)
15	1701.817	1701.817	8	68	880	B	removes	Interlaken-Montreux (5-6)
15	1705.300	1705.300	8	68	883	B	removes	Luzern-Bern (1-3)
15	1708.554	1708.554	8	69	885	A	adds	Zurich-Gallen (2-8)
15	1721.063	1721.063	8	69	887	A	adds	Luzern-Zurich (1-2)
