team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
27	0.187	0.187	1	1	1	R	shows	observe gesture
27	0.278	0.278	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
27	53.832	53.832	1	1	6	R	shows	thinking gesture
27	53.837	53.837	1	1	7	R	says	(Hmm) I see.
27	66.400	66.400	1	1	9	A	presses	help (enabled)
27	71.310	71.310	1	1	11	B	presses	help (enabled)
27	98.786	98.786	1	1	12	R	shows	observe gesture
27	117.483	117.483	1	1	16	A	adds	Zermatt-Davos (4-9)
27	129.695	129.695	1	1	18	A	removes	Zermatt-Davos (4-9)
27	158.894	158.894	1	2	28	R	shows	thinking gesture
27	158.903	158.903	1	2	29	R	says	(Hmm) I see.
27	189.660	189.660	1	2	32	B	adds	Luzern-Zermatt (1-4)
27	199.309	199.309	1	2	34	B	adds	Luzern-Davos (1-9)
27	211.827	211.827	1	3	36	A	adds	Gallen-Davos (8-9)
27	225.548	225.548	1	3	39	A	adds	Zurich-Gallen (2-8)
27	248.923	248.923	1	4	41	B	adds	Zurich-Bern (2-3)
27	256.050	256.050	1	4	44	B	adds	Basel-Bern (0-3)
27	257.309	257.309	1	5	45	A	adds	Basel-Neuchatel (0-7)
27	305.476	305.476	1	5	51	A	adds	Montreux-Neuchatel (6-7)
27	318.938	318.938	1	6	53	B	adds	Interlaken-Montreux (5-6)
27	319.220	319.220	1	6	54	R	shows	observe gesture
27	373.566	373.566	1	6	56	A	presses	submit (enabled)
27	373.651	373.651	1	6	57	T	submits	cost=27 (opt_cost=22)
27	378.594	378.594	1	6	59	B	presses	submit (enabled)
27	378.950	378.950	1	6	60	R	shows	talking emotion
27	378.951	378.951	1	6	61	R	shows	up_left gesture
27	379.037	379.037	1	6	62	R	says	You are not that far from the minimum; the difference is only 5 Francs. I am sure you can do it.
27	387.764	387.764	1	6	63	R	shows	talking emotion
27	387.767	387.767	1	6	64	R	shows	point_front gesture
27	387.853	387.853	1	6	65	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
27	391.099	391.099	2	6	67	A	presses	help (enabled)
27	401.748	401.748	2	6	70	A	presses	compare (enabled)
27	409.655	409.655	2	6	72	B	presses	help (enabled)
27	458.568	458.568	2	6	78	B	adds	Interlaken-Montreux (5-6)
27	481.578	481.578	2	6	82	B	removes	Interlaken-Montreux (5-6)
27	484.390	484.390	2	7	85	A	adds	Montreux-Neuchatel (6-7)
27	486.938	486.938	2	7	87	A	adds	Interlaken-Neuchatel (5-7)
27	524.400	524.400	2	8	92	B	adds	Interlaken-Bern (5-3)
27	530.453	530.453	2	9	95	A	adds	Basel-Zurich (0-2)
27	531.001	531.001	2	9	96	B	adds	Basel-Bern (0-3)
27	533.923	533.923	2	10	98	B	presses	compare (enabled)
27	536.592	536.592	2	10	101	A	removes	Basel-Zurich (0-2)
27	566.089	566.089	2	11	105	B	adds	Luzern-Bern (1-3)
27	569.169	569.169	2	11	107	B	removes	Luzern-Bern (1-3)
27	581.459	581.459	2	12	111	A	adds	Basel-Zurich (0-2)
27	587.407	587.407	2	12	113	A	adds	Luzern-Zurich (1-2)
27	616.159	616.159	2	13	115	B	adds	Luzern-Davos (1-9)
27	622.133	622.133	2	13	118	B	adds	Zermatt-Davos (4-9)
27	624.782	624.782	2	14	119	A	adds	Zermatt-Interlaken (4-5)
27	627.239	627.239	2	14	121	A	removes	Zermatt-Interlaken (4-5)
27	640.390	640.390	2	15	123	B	adds	Gallen-Davos (8-9)
27	651.698	651.698	2	15	125	B	adds	Zurich-Gallen (2-8)
27	657.423	657.423	2	16	128	B	presses	compare (enabled)
27	658.968	658.968	2	16	129	A	adds	Zermatt-Montreux (4-6)
27	689.446	689.446	2	16	132	A	adds	Basel-Neuchatel (0-7)
27	692.485	692.485	2	17	134	A	presses	compare (enabled)
