team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
31	0.189	0.189	1	1	1	R	shows	observe gesture
31	0.261	0.261	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
31	50.831	50.831	1	1	26	A	presses	help (enabled)
31	51.991	51.991	1	1	28	B	presses	help (enabled)
31	53.877	53.877	1	1	29	R	shows	thinking gesture
31	53.886	53.886	1	1	30	R	says	(Hmm) I see.
31	75.379	75.379	1	1	36	B	presses	submit (disabled)
31	75.801	75.801	1	1	39	B	presses	submit (disabled)
31	81.650	81.650	1	1	46	B	presses	help (enabled)
31	82.806	82.806	1	1	47	A	adds	Luzern-Zermatt (1-4)
31	99.076	99.076	1	1	49	R	shows	observe gesture
31	104.575	104.575	1	1	60	A	removes	Luzern-Zermatt (1-4)
31	118.597	118.597	1	2	64	B	adds	Luzern-Bern (1-3)
31	125.679	125.679	1	2	66	B	presses	help (enabled)
31	137.237	137.237	1	2	72	B	adds	Luzern-Zermatt (1-4)
31	156.157	156.157	1	3	78	A	adds	Interlaken-Bern (5-3)
31	165.773	165.773	1	3	80	A	adds	Interlaken-Montreux (5-6)
31	173.737	173.737	1	4	82	B	adds	Zurich-Bern (2-3)
31	181.704	181.704	1	4	84	B	adds	Basel-Bern (0-3)
31	196.610	196.610	1	5	87	A	adds	Interlaken-Neuchatel (5-7)
31	212.230	212.230	1	5	90	A	adds	Zermatt-Davos (4-9)
31	218.318	218.318	1	6	92	B	adds	Zurich-Gallen (2-8)
31	218.516	218.516	1	6	93	R	shows	observe gesture
31	228.336	228.336	1	6	95	B	presses	submit (enabled)
31	261.995	261.995	1	6	97	B	adds	Luzern-Interlaken (1-5)
31	264.580	264.580	1	7	99	A	removes	Luzern-Interlaken (1-5)
31	271.965	271.965	1	7	104	B	presses	submit (enabled)
31	274.621	274.621	1	7	107	B	presses	submit (selected)
31	276.439	276.439	1	7	109	B	presses	help (enabled)
31	285.391	285.391	1	7	112	A	adds	Gallen-Davos (8-9)
31	292.720	292.720	1	8	114	B	removes	Zermatt-Davos (4-9)
31	320.923	320.923	1	8	122	B	adds	Zermatt-Davos (4-9)
31	324.336	324.336	1	9	126	A	removes	Zermatt-Davos (4-9)
31	348.023	348.023	1	9	132	A	adds	Montreux-Neuchatel (6-7)
31	352.781	352.781	1	10	134	B	removes	Interlaken-Montreux (5-6)
31	357.265	357.265	1	10	136	B	adds	Basel-Neuchatel (0-7)
31	359.171	359.171	1	11	138	A	removes	Basel-Neuchatel (0-7)
31	381.020	381.020	1	11	141	A	adds	Basel-Zurich (0-2)
31	386.466	386.466	1	12	143	B	removes	Basel-Zurich (0-2)
31	401.309	401.309	1	12	145	B	adds	Luzern-Zurich (1-2)
31	404.692	404.692	1	13	147	A	removes	Luzern-Bern (1-3)
31	434.462	434.462	1	13	149	A	adds	Zermatt-Davos (4-9)
31	452.322	452.322	1	14	164	B	removes	Luzern-Zermatt (1-4)
31	458.905	458.905	1	14	165	R	shows	observe gesture
31	467.457	467.457	1	14	167	B	adds	Zermatt-Interlaken (4-5)
31	473.367	473.367	1	15	169	A	removes	Interlaken-Bern (5-3)
31	643.364	643.364	1	15	180	A	presses	submit (enabled)
31	643.446	643.446	1	15	181	T	submits	cost=23 (opt_cost=22)
31	643.863	643.863	1	15	183	B	presses	submit (enabled)
31	644.932	644.932	1	15	184	R	shows	talking emotion
31	644.934	644.934	1	15	185	R	shows	up_left gesture
31	645.129	645.129	1	15	186	R	says	You are not that far from the minimum; the difference is only 1 Francs. I am sure you can do it.
