team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
34	0.134	0.134	1	1	1	R	shows	observe gesture
34	0.286	0.286	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
34	40.002	40.002	1	1	5	A	presses	submit (disabled)
34	52.648	52.648	1	1	7	A	adds	Zermatt-Davos (4-9)
34	54.295	54.295	1	1	8	R	shows	thinking gesture
34	54.309	54.309	1	1	9	R	says	(Hmm) I see.
34	72.181	72.181	1	1	11	A	presses	help (enabled)
34	80.204	80.204	1	1	15	A	adds	Luzern-Davos (1-9)
34	85.099	85.099	1	2	20	A	presses	submit (disabled)
34	99.295	99.295	1	2	24	R	shows	observe gesture
34	99.809	99.809	1	2	25	B	removes	Luzern-Davos (1-9)
34	103.364	103.364	1	2	29	B	adds	Luzern-Zermatt (1-4)
34	149.296	149.296	1	3	35	A	removes	Zermatt-Davos (4-9)
34	150.813	150.813	1	3	37	A	removes	Luzern-Zermatt (1-4)
34	159.295	159.295	1	4	38	R	shows	thinking gesture
34	159.415	159.415	1	4	39	R	says	(Hmm) I see.
34	166.541	166.541	1	4	42	B	adds	Gallen-Davos (8-9)
34	180.749	180.749	1	4	44	B	adds	Zermatt-Davos (4-9)
34	199.744	199.744	1	5	47	A	adds	Luzern-Zermatt (1-4)
34	204.976	204.976	1	5	49	A	adds	Luzern-Zurich (1-2)
34	213.207	213.207	1	6	51	B	removes	Luzern-Zurich (1-2)
34	217.211	217.211	1	6	54	B	adds	Zurich-Gallen (2-8)
34	230.346	230.346	1	7	56	A	adds	Zurich-Bern (2-3)
34	235.724	235.724	1	7	58	A	adds	Basel-Bern (0-3)
34	242.441	242.441	1	8	60	B	adds	Basel-Neuchatel (0-7)
34	249.349	249.349	1	8	62	B	adds	Montreux-Neuchatel (6-7)
34	258.266	258.266	1	9	64	A	adds	Interlaken-Montreux (5-6)
34	258.544	258.544	1	9	65	R	shows	observe gesture
34	271.195	271.195	1	9	67	A	presses	submit (enabled)
34	271.276	271.276	1	9	68	T	submits	cost=27 (opt_cost=22)
34	271.493	271.493	1	9	69	R	shows	talking emotion
34	271.495	271.495	1	9	70	R	shows	up_left gesture
34	271.606	271.606	1	9	71	R	says	You are away from the minimum by 5 Francs. Let's Try again.
34	271.835	271.835	1	9	73	B	presses	submit (enabled)
34	277.905	277.905	1	9	74	R	shows	point_front gesture
34	277.905	277.905	1	9	75	R	shows	talking emotion
34	278.014	278.014	1	9	76	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
34	279.295	279.295	1	9	77	R	shows	observe gesture
34	307.499	307.499	2	9	79	B	presses	compare (enabled)
34	312.462	312.462	2	9	81	A	adds	Zermatt-Montreux (4-6)
34	314.703	314.703	2	9	83	A	adds	Zermatt-Davos (4-9)
34	315.271	315.271	2	10	85	B	presses	apply (enabled)
34	315.281	315.281	2	10	86	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 6), (4, 9), (5, 6), (6, 7), (8, 9)]
34	317.672	317.672	2	10	88	B	presses	apply (enabled)
34	317.682	317.682	2	10	89	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	321.092	321.092	2	10	92	B	presses	compare (enabled)
34	321.869	321.869	2	10	94	B	presses	compare (enabled)
34	324.878	324.878	2	10	96	B	presses	apply (enabled)
34	324.888	324.888	2	10	97	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	325.936	325.936	2	10	99	B	presses	compare (enabled)
34	325.958	325.958	2	10	101	A	presses	submit (enabled)
34	326.304	326.304	2	10	103	B	presses	compare (enabled)
34	329.129	329.129	2	10	106	B	presses	apply (enabled)
34	329.139	329.139	2	10	107	B	loads	[(0, 3), (0, 7), (1, 4), (2, 3), (2, 8), (4, 9), (5, 6), (6, 7), (8, 9)]
34	332.796	332.796	2	10	109	A	presses	submit (enabled)
34	334.547	334.547	2	10	110	T	submits	cost=27 (opt_cost=22)
34	334.765	334.765	2	10	111	R	shows	talking emotion
34	334.766	334.766	2	10	112	R	shows	up_left gesture
34	334.865	334.865	2	10	113	R	says	You are not that far from the minimum; the difference is only 5 Francs. I am sure you can do it.
34	335.144	335.144	2	10	115	B	presses	submit (enabled)
34	360.693	360.693	3	10	117	A	adds	Zermatt-Davos (4-9)
34	367.969	367.969	3	10	119	A	adds	Gallen-Davos (8-9)
34	378.877	378.877	3	11	121	A	presses	compare (enabled)
34	436.110	436.110	3	11	141	B	adds	Luzern-Zermatt (1-4)
34	438.076	438.076	3	11	144	A	presses	compare (enabled)
34	438.475	438.475	3	11	145	B	adds	Luzern-Bern (1-3)
34	455.005	455.005	3	12	147	A	adds	Zurich-Bern (2-3)
34	463.791	463.791	3	12	149	A	adds	Basel-Zurich (0-2)
34	465.381	465.381	3	13	151	A	presses	compare (enabled)
