team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
30	0.346	0.346	1	1	1	R	shows	observe gesture
30	0.457	0.457	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
30	47.538	47.538	1	1	4	A	adds	Interlaken-Montreux (5-6)
30	54.057	54.057	1	1	5	R	shows	thinking gesture
30	54.069	54.069	1	1	7	R	says	(Hmm) I see.
30	55.302	55.302	1	1	9	A	removes	Interlaken-Montreux (5-6)
30	61.241	61.241	1	2	12	A	presses	help (enabled)
30	70.529	70.529	1	2	15	B	presses	help (enabled)
30	99.057	99.057	1	2	20	R	shows	observe gesture
30	99.494	99.494	1	2	21	B	adds	Interlaken-Montreux (5-6)
30	103.951	103.951	1	3	25	A	removes	Interlaken-Montreux (5-6)
30	104.073	104.073	1	3	26	B	adds	Interlaken-Neuchatel (5-7)
30	105.368	105.368	1	4	29	A	removes	Interlaken-Neuchatel (5-7)
30	122.977	122.977	1	5	37	B	adds	Interlaken-Montreux (5-6)
30	124.156	124.156	1	5	39	B	adds	Interlaken-Neuchatel (5-7)
30	156.276	156.276	1	6	46	A	adds	Basel-Neuchatel (0-7)
30	159.170	159.170	1	6	53	A	adds	Basel-Zurich (0-2)
30	161.075	161.075	1	7	56	B	presses	help (enabled)
30	174.762	174.762	1	7	63	B	adds	Zurich-Gallen (2-8)
30	179.676	179.676	1	7	65	B	adds	Gallen-Davos (8-9)
30	186.344	186.344	1	8	68	A	adds	Zermatt-Davos (4-9)
30	188.547	188.547	1	8	70	A	adds	Luzern-Zermatt (1-4)
30	193.391	193.391	1	9	71	R	shows	observe gesture
30	197.729	197.729	1	9	73	B	adds	Luzern-Bern (1-3)
30	218.152	218.152	1	9	75	A	presses	submit (enabled)
30	227.691	227.691	1	9	76	T	submits	cost=30 (opt_cost=22)
30	227.915	227.915	1	9	77	R	shows	talking emotion
30	227.916	227.916	1	9	78	R	shows	up_left gesture
30	227.973	227.973	1	9	79	R	says	You are not that far from the minimum; the difference is only 8 Francs. I am sure you can do it.
30	232.218	232.218	1	9	81	B	presses	submit (enabled)
30	237.012	237.012	1	9	82	R	shows	talking emotion
30	237.012	237.012	1	9	83	R	shows	point_front gesture
30	237.078	237.078	1	9	84	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
30	248.103	248.103	2	9	86	A	presses	help (enabled)
30	254.382	254.382	2	9	89	A	presses	compare (enabled)
30	318.527	318.527	2	9	99	B	adds	Interlaken-Montreux (5-6)
30	320.084	320.084	2	9	102	B	adds	Interlaken-Bern (5-3)
30	320.654	320.654	2	10	104	A	adds	Luzern-Bern (1-3)
30	325.787	325.787	2	10	107	A	adds	Luzern-Zermatt (1-4)
30	334.938	334.938	2	11	109	B	adds	Zermatt-Davos (4-9)
30	351.323	351.323	2	12	114	A	adds	Zurich-Gallen (2-8)
30	351.712	351.712	2	12	115	B	adds	Gallen-Davos (8-9)
30	355.822	355.822	2	13	118	A	adds	Basel-Zurich (0-2)
30	364.065	364.065	2	14	120	B	adds	Basel-Neuchatel (0-7)
30	370.158	370.158	2	14	122	A	presses	compare (enabled)
30	373.172	373.172	2	14	125	B	presses	submit (enabled)
30	374.055	374.055	2	14	127	A	presses	submit (enabled)
30	374.138	374.138	2	14	128	T	submits	cost=31 (opt_cost=22)
30	374.352	374.352	2	14	129	R	shows	talking emotion
30	374.352	374.352	2	14	130	R	shows	up_left gesture
30	374.420	374.420	2	14	131	R	says	You are away from the minimum by 9 Francs. Let's Try again.
30	420.903	420.903	3	14	134	B	adds	Gallen-Davos (8-9)
30	425.347	425.347	3	14	137	B	adds	Zermatt-Davos (4-9)
30	437.839	437.839	3	15	139	A	adds	Zermatt-Interlaken (4-5)
30	439.793	439.793	3	15	141	A	removes	Zermatt-Interlaken (4-5)
30	459.057	459.057	3	16	143	R	shows	observe gesture
30	471.124	471.124	3	16	145	B	adds	Zermatt-Interlaken (4-5)
30	476.138	476.138	3	16	148	B	adds	Interlaken-Montreux (5-6)
30	477.885	477.885	3	17	149	A	adds	Montreux-Neuchatel (6-7)
30	501.293	501.293	3	17	151	A	adds	Basel-Neuchatel (0-7)
30	506.236	506.236	3	18	153	A	presses	compare (enabled)
30	510.101	510.101	3	18	157	A	presses	compare (enabled)
30	510.536	510.536	3	18	158	B	adds	Basel-Bern (0-3)
30	510.803	510.803	3	18	160	A	presses	compare (enabled)
30	523.856	523.856	3	19	163	A	adds	Luzern-Zurich (1-2)
30	525.204	525.204	3	19	165	B	adds	Zurich-Bern (2-3)
30	529.094	529.094	3	20	169	A	presses	submit (enabled)
30	529.280	529.280	3	20	170	T	submits	cost=25 (opt_cost=22)
30	529.437	529.437	3	20	171	R	shows	talking emotion
30	529.438	529.438	3	20	172	R	shows	up_left gesture
30	529.482	529.482	3	20	173	R	says	You are not that far from the minimum; the difference is only 3 Francs. I am sure you can do it.
30	529.991	529.991	3	20	175	B	presses	submit (enabled)
30	568.632	568.632	4	20	181	A	adds	Zermatt-Davos (4-9)
30	571.603	571.603	4	20	183	A	adds	Luzern-Zermatt (1-4)
30	576.905	576.905	4	21	185	A	presses	compare (enabled)
30	579.056	579.056	4	21	186	R	shows	thinking gesture
30	579.065	579.065	4	21	187	R	says	(Hmm) I see.
30	583.869	583.869	4	21	189	B	adds	Luzern-Bern (1-3)
30	586.051	586.051	4	21	191	B	adds	Interlaken-Bern (5-3)
30	587.998	587.998	4	22	193	A	adds	Interlaken-Montreux (5-6)
30	602.341	602.341	4	22	196	A	adds	Gallen-Davos (8-9)
30	610.633	610.633	4	23	199	B	adds	Zurich-Gallen (2-8)
30	610.974	610.974	4	24	200	A	adds	Basel-Neuchatel (0-7)
30	612.413	612.413	4	24	202	B	adds	Basel-Zurich (0-2)
30	614.122	614.122	4	25	204	A	presses	submit (enabled)
30	614.177	614.177	4	25	205	T	submits	cost=31 (opt_cost=22)
30	614.391	614.391	4	25	206	R	shows	talking emotion
30	614.394	614.394	4	25	207	R	shows	up_left gesture
30	614.450	614.450	4	25	208	R	says	You are not that far from the minimum; the difference is only 9 Francs. I am sure you can do it.
30	617.330	617.330	4	25	210	B	presses	submit (enabled)
30	630.073	630.073	5	25	212	A	adds	Gallen-Davos (8-9)
30	637.823	637.823	5	25	214	B	presses	compare (enabled)
30	642.658	642.658	5	25	216	B	presses	previous (enabled)
30	649.072	649.072	5	25	218	A	adds	Zurich-Gallen (2-8)
30	653.286	653.286	5	26	220	B	presses	previous (enabled)
30	653.687	653.687	5	26	222	B	presses	previous (enabled)
30	655.865	655.865	5	26	225	A	presses	previous (enabled)
30	672.872	672.872	5	26	228	A	presses	compare (enabled)
30	672.903	672.903	5	26	229	A	presses	next (enabled)
30	674.186	674.186	5	26	231	A	presses	previous (enabled)
30	676.956	676.956	5	26	232	B	adds	Luzern-Zurich (1-2)
30	684.378	684.378	5	26	235	B	adds	Luzern-Bern (1-3)
30	688.225	688.225	5	27	237	B	presses	compare (enabled)
30	688.238	688.238	5	27	238	B	presses	next (enabled)
30	688.955	688.955	5	27	240	B	presses	compare (enabled)
30	688.966	688.966	5	27	241	B	presses	next (enabled)
30	689.435	689.435	5	27	243	B	presses	compare (enabled)
30	690.023	690.023	5	27	245	B	presses	previous (enabled)
30	690.389	690.389	5	27	247	B	presses	previous (enabled)
30	690.926	690.926	5	27	249	B	presses	previous (enabled)
30	691.830	691.830	5	27	251	B	presses	compare (enabled)
30	691.842	691.842	5	27	252	B	presses	next (enabled)
30	693.640	693.640	5	27	254	A	adds	Basel-Bern (0-3)
30	702.334	702.334	5	27	256	A	adds	Basel-Neuchatel (0-7)
30	720.588	720.588	5	28	258	B	adds	Interlaken-Neuchatel (5-7)
30	732.249	732.249	5	29	261	A	adds	Montreux-Neuchatel (6-7)
30	733.501	733.501	5	29	264	B	removes	Interlaken-Neuchatel (5-7)
30	737.089	737.089	5	30	267	B	presses	compare (enabled)
30	737.100	737.100	5	30	268	B	presses	next (enabled)
30	741.575	741.575	5	30	270	A	adds	Zermatt-Montreux (4-6)
30	749.002	749.002	5	31	272	B	adds	Zermatt-Interlaken (4-5)
30	749.757	749.757	5	31	274	A	presses	submit (enabled)
30	749.797	749.797	5	31	275	T	submits	cost=23 (opt_cost=22)
30	750.144	750.144	5	31	276	R	shows	talking emotion
30	750.145	750.145	5	31	277	R	shows	up_left gesture
30	750.243	750.243	5	31	278	R	says	You are away from the minimum by 1 Francs. Let's Try again.
30	752.701	752.701	5	31	280	B	presses	submit (enabled)
30	756.509	756.509	5	31	281	R	shows	talking emotion
30	756.509	756.509	5	31	282	R	shows	up_right gesture
30	756.562	756.562	5	31	283	R	says	Hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
