team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
42	0.289	0.289	1	1	1	R	shows	observe gesture
42	0.398	0.398	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
42	37.759	37.759	1	1	4	A	presses	help (enabled)
42	43.007	43.007	1	1	6	B	presses	help (enabled)
42	53.805	53.805	1	1	7	R	shows	thinking gesture
42	53.812	53.812	1	1	8	R	says	(Hmm) I see.
42	72.428	72.428	1	1	12	A	adds	Montreux-Neuchatel (6-7)
42	83.362	83.362	1	1	14	A	presses	help (enabled)
42	87.550	87.550	1	1	17	A	presses	help (enabled)
42	94.976	94.976	1	1	20	A	adds	Basel-Neuchatel (0-7)
42	98.804	98.804	1	2	22	R	shows	observe gesture
42	100.284	100.284	1	2	25	A	presses	help (enabled)
42	102.318	102.318	1	2	28	A	presses	help (enabled)
42	103.613	103.613	1	2	31	A	presses	help (enabled)
42	104.885	104.885	1	2	34	A	presses	help (enabled)
42	109.205	109.205	1	2	38	B	presses	help (enabled)
42	111.041	111.041	1	2	40	B	presses	help (enabled)
42	122.006	122.006	1	2	42	B	adds	Interlaken-Montreux (5-6)
42	156.672	156.672	1	2	49	B	presses	help (enabled)
42	158.950	158.950	1	2	50	R	shows	thinking gesture
42	158.953	158.953	1	2	51	R	says	(Hmm) I see.
42	169.152	169.152	1	2	55	B	removes	Basel-Neuchatel (0-7)
42	181.904	181.904	1	3	57	A	adds	Zermatt-Interlaken (4-5)
42	184.774	184.774	1	3	59	A	removes	Zermatt-Interlaken (4-5)
42	190.794	190.794	1	4	64	A	presses	help (enabled)
42	195.775	195.775	1	4	67	B	removes	Montreux-Neuchatel (6-7)
42	232.165	232.165	1	4	78	B	adds	Interlaken-Bern (5-3)
42	245.354	245.354	1	5	80	A	adds	Basel-Bern (0-3)
42	256.054	256.054	1	5	85	A	adds	Luzern-Bern (1-3)
42	264.107	264.107	1	6	87	B	adds	Luzern-Zermatt (1-4)
42	275.280	275.280	1	6	89	B	adds	Zurich-Bern (2-3)
