team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
46	0.181	0.181	1	1	1	R	shows	observe gesture
46	0.277	0.277	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
46	48.654	48.654	1	1	7	B	presses	help (enabled)
46	51.780	51.780	1	1	9	A	presses	help (enabled)
46	53.730	53.730	1	1	11	R	shows	thinking gesture
46	53.734	53.734	1	1	12	R	says	(Hmm) I see.
46	54.191	54.191	1	1	14	B	presses	help (enabled)
46	98.786	98.786	1	1	19	R	shows	observe gesture
46	137.239	137.239	1	1	23	A	adds	Interlaken-Bern (5-3)
46	150.682	150.682	1	1	25	A	adds	Luzern-Bern (1-3)
46	158.792	158.792	1	2	26	R	shows	thinking gesture
46	158.795	158.795	1	2	27	R	says	(Hmm) I see.
46	161.431	161.431	1	2	29	B	adds	Luzern-Zermatt (1-4)
46	166.610	166.610	1	2	31	B	adds	Interlaken-Montreux (5-6)
46	228.199	228.199	1	3	38	A	adds	Basel-Bern (0-3)
46	243.107	243.107	1	3	40	A	adds	Basel-Neuchatel (0-7)
46	254.944	254.944	1	4	42	B	adds	Zurich-Bern (2-3)
46	278.804	278.804	1	4	44	R	shows	observe gesture
46	330.336	330.336	1	4	50	B	adds	Zurich-Gallen (2-8)
46	336.645	336.645	1	5	53	A	adds	Zermatt-Davos (4-9)
46	340.113	340.113	1	5	54	R	shows	observe gesture
46	358.888	358.888	1	5	58	A	removes	Zermatt-Davos (4-9)
46	377.460	377.460	1	6	61	B	adds	Gallen-Davos (8-9)
46	378.860	378.860	1	6	63	B	presses	submit (enabled)
46	420.458	420.458	1	6	69	B	presses	submit (enabled)
46	431.167	431.167	1	6	72	B	adds	Zermatt-Montreux (4-6)
46	528.579	528.579	1	7	82	A	removes	Luzern-Zermatt (1-4)
46	531.762	531.762	1	7	85	A	adds	Luzern-Davos (1-9)
