team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
7	0.315	0.315	1	1	1	R	shows	observe gesture
7	0.402	0.402	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
7	47.931	47.931	1	1	6	A	adds	Interlaken-Montreux (5-6)
7	53.981	53.981	1	1	9	R	shows	thinking gesture
7	53.998	53.998	1	1	10	R	says	(Hmm) I see.
7	57.189	57.189	1	1	13	A	adds	Montreux-Neuchatel (6-7)
7	65.317	65.317	1	2	21	B	adds	Zermatt-Montreux (4-6)
7	68.004	68.004	1	2	27	A	presses	submit (disabled)
7	73.275	73.275	1	2	35	B	removes	Interlaken-Montreux (5-6)
7	74.640	74.640	1	3	40	A	removes	Zermatt-Montreux (4-6)
7	78.558	78.558	1	3	44	A	adds	Zermatt-Montreux (4-6)
7	83.450	83.450	1	4	49	B	adds	Luzern-Zermatt (1-4)
7	85.674	85.674	1	4	53	A	presses	submit (disabled)
7	85.726	85.726	1	4	54	B	adds	Luzern-Bern (1-3)
7	91.368	91.368	1	5	57	A	adds	Interlaken-Montreux (5-6)
7	100.878	100.878	1	5	65	A	adds	Basel-Neuchatel (0-7)
7	102.979	102.979	1	6	68	A	presses	submit (disabled)
7	106.049	106.049	1	6	70	B	adds	Basel-Bern (0-3)
7	111.867	111.867	1	6	78	A	presses	help (enabled)
7	114.697	114.697	1	6	81	B	removes	Interlaken-Montreux (5-6)
7	119.313	119.313	1	7	87	A	adds	Basel-Zurich (0-2)
7	125.075	125.075	1	7	93	A	adds	Zurich-Gallen (2-8)
7	128.165	128.165	1	8	95	B	adds	Interlaken-Montreux (5-6)
7	137.660	137.660	1	8	136	B	adds	Luzern-Zurich (1-2)
7	142.632	142.632	1	9	144	B	presses	help (enabled)
7	142.751	142.751	1	9	145	A	adds	Gallen-Davos (8-9)
7	143.347	143.347	1	9	146	R	shows	observe gesture
7	150.416	150.416	1	9	150	B	presses	help (enabled)
7	153.760	153.760	1	9	152	A	adds	Zermatt-Davos (4-9)
7	154.200	154.200	1	10	154	B	presses	help (enabled)
7	158.319	158.319	1	10	158	A	presses	help (enabled)
7	158.987	158.987	1	10	159	R	shows	thinking gesture
7	158.998	158.998	1	10	160	R	says	(Hmm) I see.
7	160.115	160.115	1	10	161	B	adds	Interlaken-Bern (5-3)
7	162.475	162.475	1	10	163	B	adds	Luzern-Interlaken (1-5)
7	168.240	168.240	1	11	167	A	adds	Zurich-Davos (2-9)
7	171.406	171.406	1	11	172	A	adds	Luzern-Davos (1-9)
7	176.999	176.999	1	12	178	B	adds	Zermatt-Interlaken (4-5)
7	178.810	178.810	1	12	182	B	adds	Interlaken-Neuchatel (5-7)
7	194.268	194.268	1	13	194	A	adds	Zurich-Bern (2-3)
7	230.091	230.091	1	13	261	A	adds	Neuchatel-Bern (7-3)
7	257.036	257.036	1	14	285	A	presses	submit (enabled)
7	257.134	257.134	1	14	286	T	submits	cost=64 (opt_cost=22)
7	257.415	257.415	1	14	288	B	presses	submit (enabled)
7	257.820	257.820	1	14	289	R	shows	up_left gesture
7	257.822	257.822	1	14	290	R	shows	talking emotion
7	257.896	257.896	1	14	291	R	says	You are away from the minimum by 42 Francs. Let's Try again.
7	264.468	264.468	1	14	292	R	shows	talking emotion
7	264.470	264.470	1	14	293	R	shows	point_front gesture
7	264.555	264.555	1	14	294	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
7	277.949	277.949	2	14	297	B	adds	Luzern-Bern (1-3)
7	278.582	278.582	2	14	299	A	presses	compare (enabled)
7	279.324	279.324	2	14	301	B	adds	Luzern-Interlaken (1-5)
7	283.960	283.960	2	15	305	A	adds	Interlaken-Neuchatel (5-7)
7	285.544	285.544	2	15	307	A	adds	Zermatt-Interlaken (4-5)
7	288.889	288.889	2	16	310	A	presses	apply (enabled)
7	288.899	288.899	2	16	311	A	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
7	292.125	292.125	2	16	316	A	presses	compare (enabled)
7	301.350	301.350	2	16	325	B	removes	Luzern-Davos (1-9)
7	302.287	302.287	2	16	327	B	removes	Zurich-Davos (2-9)
7	305.820	305.820	2	17	331	A	adds	Luzern-Davos (1-9)
7	308.749	308.749	2	17	334	B	presses	compare (enabled)
7	310.465	310.465	2	17	340	B	presses	apply (enabled)
7	310.475	310.475	2	17	341	B	loads	[(0, 2), (0, 3), (0, 7), (1, 2), (1, 3), (1, 4), (1, 5), (1, 9), (2, 3), (2, 8), (2, 9), (4, 5), (4, 6), (4, 9), (5, 3), (5, 6), (5, 7), (6, 7), (7, 3), (8, 9)]
7	311.089	311.089	2	17	344	B	presses	apply (enabled)
7	311.215	311.215	2	17	346	B	presses	apply (enabled)
7	311.432	311.432	2	17	348	B	presses	apply (enabled)
7	336.476	336.476	2	17	378	A	presses	submit (enabled)
7	339.102	339.102	2	17	379	T	submits	cost=64 (opt_cost=22)
7	339.365	339.365	2	17	381	B	presses	submit (enabled)
7	339.622	339.622	2	17	382	R	shows	talking emotion
7	339.624	339.624	2	17	383	R	shows	up_left gesture
7	339.704	339.704	2	17	384	R	says	You are away from the minimum by 42 Francs. Let's Try again.
7	355.730	355.730	3	17	391	A	adds	Zermatt-Montreux (4-6)
7	357.669	357.669	3	17	393	A	adds	Interlaken-Montreux (5-6)
7	360.849	360.849	3	18	395	B	adds	Interlaken-Neuchatel (5-7)
7	362.510	362.510	3	18	397	B	adds	Basel-Neuchatel (0-7)
7	365.736	365.736	3	19	399	A	adds	Basel-Bern (0-3)
7	366.990	366.990	3	19	401	A	adds	Zurich-Bern (2-3)
7	370.399	370.399	3	20	403	B	adds	Luzern-Zurich (1-2)
7	374.101	374.101	3	20	406	B	adds	Zurich-Gallen (2-8)
7	377.483	377.483	3	21	408	A	adds	Gallen-Davos (8-9)
7	379.492	379.492	3	21	411	A	adds	Zermatt-Davos (4-9)
7	383.242	383.242	3	22	413	A	presses	submit (enabled)
7	384.088	384.088	3	22	414	T	submits	cost=29 (opt_cost=22)
7	384.382	384.382	3	22	416	B	presses	submit (enabled)
7	384.637	384.637	3	22	417	R	shows	talking emotion
7	384.642	384.642	3	22	418	R	shows	up_left gesture
7	384.740	384.740	3	22	419	R	says	You are not that far from the minimum; the difference is only 7 Francs. I am sure you can do it.
7	397.215	397.215	4	22	421	B	adds	Zermatt-Montreux (4-6)
7	398.815	398.815	4	22	423	B	adds	Montreux-Neuchatel (6-7)
7	405.283	405.283	4	23	425	A	adds	Zermatt-Davos (4-9)
7	408.042	408.042	4	23	428	A	adds	Gallen-Davos (8-9)
7	411.915	411.915	4	24	430	B	adds	Zurich-Gallen (2-8)
7	414.290	414.290	4	24	432	B	adds	Basel-Neuchatel (0-7)
7	416.922	416.922	4	25	434	A	adds	Basel-Zurich (0-2)
7	422.259	422.259	4	25	439	A	adds	Luzern-Zurich (1-2)
7	437.149	437.149	4	26	465	B	removes	Luzern-Zurich (1-2)
7	445.296	445.296	4	26	470	B	adds	Basel-Bern (0-3)
7	454.139	454.139	4	27	474	A	adds	Zurich-Bern (2-3)
7	457.703	457.703	4	27	477	A	adds	Interlaken-Bern (5-3)
7	458.978	458.978	4	28	478	R	shows	observe gesture
7	462.265	462.265	4	28	480	B	removes	Zurich-Bern (2-3)
7	464.574	464.574	4	28	483	B	adds	Luzern-Zurich (1-2)
7	476.781	476.781	4	29	491	B	presses	submit (enabled)
7	487.914	487.914	4	29	497	A	presses	submit (enabled)
7	487.975	487.975	4	29	498	T	submits	cost=30 (opt_cost=22)
7	488.522	488.522	4	29	499	R	shows	talking emotion
7	488.528	488.528	4	29	500	R	shows	up_left gesture
7	488.616	488.616	4	29	501	R	says	You are not that far from the minimum; the difference is only 8 Francs. I am sure you can do it.
7	501.269	501.269	5	29	503	A	adds	Zermatt-Montreux (4-6)
7	502.616	502.616	5	29	505	A	adds	Montreux-Neuchatel (6-7)
7	506.598	506.598	5	30	507	B	adds	Luzern-Zermatt (1-4)
7	508.591	508.591	5	30	509	B	adds	Luzern-Davos (1-9)
7	514.294	514.294	5	31	511	A	adds	Gallen-Davos (8-9)
