team_no	start	end	attempt_no	turn_no	event_no	subject	verb	object
44	0.192	0.192	1	1	1	R	shows	observe gesture
44	0.271	0.271	1	1	2	R	says	So, Sally and Anne, let's start building the tracks. I count on you guys. Are you ready? Also, you need to play this game together, as both of you will see different views at all times. You can talk now to help each other. To see my instructions again, check the information icon on your screens. Time to play. Let's Go!
44	45.833	45.833	1	1	4	A	presses	help (enabled)
44	47.598	47.598	1	1	6	B	presses	help (enabled)
44	53.397	53.397	1	1	7	R	shows	thinking gesture
44	53.403	53.403	1	1	8	R	says	(Hmm) I see.
44	60.133	60.133	1	1	11	B	presses	help (enabled)
44	98.453	98.453	1	1	12	R	shows	observe gesture
44	103.688	103.688	1	1	14	A	presses	submit (disabled)
44	120.663	120.663	1	1	19	B	presses	help (enabled)
44	131.770	131.770	1	1	22	A	adds	Interlaken-Montreux (5-6)
44	134.203	134.203	1	1	24	A	presses	submit (disabled)
44	145.068	145.068	1	1	26	A	adds	Interlaken-Neuchatel (5-7)
44	155.988	155.988	1	2	28	A	presses	submit (disabled)
44	158.459	158.459	1	2	30	R	shows	thinking gesture
44	158.463	158.463	1	2	31	R	says	(Hmm) I see.
44	169.674	169.674	1	2	33	B	adds	Basel-Neuchatel (0-7)
44	173.906	173.906	1	2	35	B	adds	Basel-Bern (0-3)
44	180.147	180.147	1	3	37	A	adds	Zurich-Bern (2-3)
44	185.388	185.388	1	3	39	A	adds	Zurich-Gallen (2-8)
44	193.499	193.499	1	4	41	B	adds	Gallen-Davos (8-9)
44	197.008	197.008	1	4	43	B	adds	Luzern-Davos (1-9)
44	204.697	204.697	1	5	45	A	adds	Luzern-Zurich (1-2)
44	210.886	210.886	1	5	47	A	adds	Basel-Zurich (0-2)
44	219.461	219.461	1	6	49	B	adds	Luzern-Zermatt (1-4)
44	219.883	219.883	1	6	50	R	shows	observe gesture
44	233.756	233.756	1	6	52	A	presses	submit (enabled)
44	234.720	234.720	1	6	53	T	submits	cost=35 (opt_cost=22)
44	236.093	236.093	1	6	55	B	presses	submit (enabled)
44	236.364	236.364	1	6	56	R	shows	talking emotion
44	236.366	236.366	1	6	57	R	shows	up_left gesture
44	236.494	236.494	1	6	58	R	says	You are away from the minimum by 13 Francs. Let's Try again.
44	242.836	242.836	1	6	59	R	shows	talking emotion
44	242.836	242.836	1	6	60	R	shows	point_front gesture
44	242.839	242.839	1	6	61	R	says	By the way, you guys now also have the button on the bottom of your screen in the abstract view for comparing solutions.
44	255.133	255.133	2	6	63	A	presses	compare (enabled)
44	260.861	260.861	2	6	65	B	presses	help (enabled)
44	280.326	280.326	2	6	68	B	adds	Interlaken-Montreux (5-6)
44	282.984	282.984	2	6	73	A	presses	submit (disabled)
44	283.240	283.240	2	6	74	B	adds	Interlaken-Neuchatel (5-7)
44	289.005	289.005	2	7	76	A	adds	Neuchatel-Bern (7-3)
44	293.831	293.831	2	7	78	A	adds	Luzern-Bern (1-3)
44	299.359	299.359	2	8	80	B	adds	Basel-Bern (0-3)
44	305.482	305.482	2	8	82	B	adds	Zurich-Bern (2-3)
44	308.687	308.687	2	9	84	A	adds	Luzern-Davos (1-9)
44	313.476	313.476	2	9	86	A	adds	Zurich-Davos (2-9)
44	319.336	319.336	2	10	88	B	adds	Gallen-Davos (8-9)
44	322.110	322.110	2	10	90	B	adds	Zermatt-Davos (4-9)
44	337.237	337.237	2	11	93	A	presses	submit (enabled)
44	353.868	353.868	2	11	95	A	presses	submit (selected)
44	354.823	354.823	2	11	97	A	presses	submit (enabled)
44	354.876	354.876	2	11	98	T	submits	cost=33 (opt_cost=22)
44	356.027	356.027	2	11	100	B	presses	submit (enabled)
44	357.103	357.103	2	11	101	R	shows	talking emotion
44	357.105	357.105	2	11	102	R	shows	up_left gesture
44	357.166	357.166	2	11	104	B	presses	submit (enabled)
44	357.298	357.298	2	11	105	R	says	You are away from the minimum by 11 Francs. Let's Try again.
44	367.437	367.437	3	11	107	A	adds	Zermatt-Montreux (4-6)
44	371.352	371.352	3	11	109	A	adds	Zermatt-Davos (4-9)
44	378.562	378.562	3	12	111	B	adds	Luzern-Zermatt (1-4)
44	380.907	380.907	3	12	113	B	adds	Zermatt-Interlaken (4-5)
44	385.240	385.240	3	13	115	A	adds	Luzern-Interlaken (1-5)
44	389.615	389.615	3	13	117	A	adds	Luzern-Zurich (1-2)
44	398.105	398.105	3	14	119	B	adds	Luzern-Davos (1-9)
44	399.689	399.689	3	14	121	B	adds	Gallen-Davos (8-9)
44	404.479	404.479	3	15	123	A	adds	Zurich-Gallen (2-8)
44	415.163	415.163	3	15	126	A	adds	Zurich-Bern (2-3)
44	420.379	420.379	3	16	128	B	adds	Interlaken-Bern (5-3)
44	427.022	427.022	3	16	132	B	adds	Basel-Bern (0-3)
44	430.049	430.049	3	17	134	A	adds	Basel-Neuchatel (0-7)
44	436.134	436.134	3	17	136	A	adds	Interlaken-Neuchatel (5-7)
44	447.228	447.228	3	18	139	A	presses	submit (enabled)
44	447.406	447.406	3	18	140	T	submits	cost=41 (opt_cost=22)
44	448.794	448.794	3	18	142	B	presses	submit (enabled)
44	449.024	449.024	3	18	143	R	shows	talking emotion
44	449.026	449.026	3	18	144	R	shows	up_left gesture
44	449.154	449.154	3	18	145	R	says	You are not that far from the minimum; the difference is only 19 Francs. I am sure you can do it.
44	459.237	459.237	4	18	147	A	presses	compare (enabled)
44	463.632	463.632	4	18	149	B	adds	Gallen-Davos (8-9)
44	473.776	473.776	4	18	151	B	adds	Zermatt-Davos (4-9)
44	479.056	479.056	4	19	153	A	adds	Zurich-Gallen (2-8)
44	485.434	485.434	4	19	155	A	adds	Zurich-Davos (2-9)
44	490.991	490.991	4	20	157	B	adds	Luzern-Zurich (1-2)
44	493.735	493.735	4	20	159	B	adds	Luzern-Zermatt (1-4)
44	501.715	501.715	4	21	162	A	adds	Zurich-Bern (2-3)
44	506.040	506.040	4	21	164	A	adds	Neuchatel-Bern (7-3)
44	511.494	511.494	4	22	166	B	adds	Interlaken-Bern (5-3)
44	513.872	513.872	4	22	168	B	adds	Basel-Bern (0-3)
44	519.617	519.617	4	23	171	A	adds	Zermatt-Interlaken (4-5)
44	523.497	523.497	4	23	173	A	adds	Montreux-Neuchatel (6-7)
44	531.582	531.582	4	24	175	A	presses	submit (enabled)
44	531.629	531.629	4	24	176	T	submits	cost=36 (opt_cost=22)
44	532.673	532.673	4	24	178	B	presses	submit (enabled)
44	533.266	533.266	4	24	179	R	shows	talking emotion
44	533.267	533.267	4	24	180	R	shows	up_left gesture
44	533.393	533.393	4	24	181	R	says	You are away from the minimum by 14 Francs. Let's Try again.
44	541.100	541.100	5	24	183	A	presses	compare (enabled)
44	544.801	544.801	5	24	186	A	presses	submit (disabled)
44	545.126	545.126	5	24	187	B	adds	Gallen-Davos (8-9)
44	545.969	545.969	5	24	189	A	presses	submit (disabled)
44	547.972	547.972	5	24	191	B	adds	Zurich-Gallen (2-8)
44	553.286	553.286	5	25	194	A	adds	Zermatt-Davos (4-9)
44	556.485	556.485	5	25	196	A	adds	Zermatt-Interlaken (4-5)
44	558.871	558.871	5	26	198	A	presses	compare (enabled)
44	562.026	562.026	5	26	200	B	adds	Luzern-Zermatt (1-4)
44	563.202	563.202	5	26	202	B	adds	Zermatt-Montreux (4-6)
44	569.071	569.071	5	27	204	A	adds	Montreux-Neuchatel (6-7)
44	573.279	573.279	5	27	206	A	adds	Neuchatel-Bern (7-3)
44	578.352	578.352	5	28	208	R	shows	thinking gesture
44	578.400	578.400	5	28	209	R	says	(Hmm) I see.
44	583.591	583.591	5	28	211	B	adds	Luzern-Zurich (1-2)
44	585.405	585.405	5	28	213	B	adds	Basel-Bern (0-3)
44	590.714	590.714	5	29	215	A	presses	submit (enabled)
44	590.754	590.754	5	29	216	T	submits	cost=27 (opt_cost=22)
44	591.891	591.891	5	29	218	B	presses	submit (enabled)
44	592.479	592.479	5	29	219	R	shows	talking emotion
44	592.480	592.480	5	29	220	R	shows	up_left gesture
44	592.576	592.576	5	29	221	R	says	You are not that far from the minimum; the difference is only 5 Francs. I am sure you can do it.
44	601.347	601.347	5	29	223	R	shows	talking emotion
44	601.347	601.347	5	29	224	R	shows	up_right gesture
44	601.439	601.439	5	29	225	R	says	Hey guys, maybe, it would be easier to solve the problem if you look at your previous solutions more.
44	614.497	614.497	6	29	229	B	presses	compare (enabled)
44	618.634	618.634	6	29	233	B	presses	previous (enabled)
44	619.356	619.356	6	29	235	B	presses	previous (enabled)
44	619.858	619.858	6	29	237	B	presses	previous (enabled)
44	620.354	620.354	6	29	238	A	adds	Zermatt-Montreux (4-6)
44	620.358	620.358	6	29	240	B	presses	previous (enabled)
44	621.224	621.224	6	29	242	B	presses	compare (enabled)
44	621.232	621.232	6	29	243	B	presses	next (enabled)
44	621.589	621.589	6	29	245	B	presses	compare (enabled)
44	621.601	621.601	6	29	246	B	presses	next (enabled)
44	621.800	621.800	6	29	248	B	presses	compare (enabled)
44	621.808	621.808	6	29	249	B	presses	next (enabled)
44	621.956	621.956	6	29	251	B	presses	compare (enabled)
44	621.966	621.966	6	29	252	B	presses	next (enabled)
44	622.124	622.124	6	29	254	B	presses	compare (enabled)
44	630.880	630.880	6	29	256	A	adds	Zermatt-Davos (4-9)
44	640.325	640.325	6	30	258	B	adds	Gallen-Davos (8-9)
44	643.673	643.673	6	30	260	B	adds	Zurich-Gallen (2-8)
44	651.521	651.521	6	31	262	A	adds	Luzern-Zurich (1-2)
44	657.549	657.549	6	31	264	A	adds	Luzern-Bern (1-3)
44	658.824	658.824	6	32	266	B	presses	previous (enabled)
44	668.827	668.827	6	32	268	B	adds	Basel-Bern (0-3)
