Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
3	3	6	go to mount saint gallen .	508	145	2	A	364, 395, 508	[364, 395, 508]	[2023, 2164, 2776]	2023	2776
2	2	6	mount montreux , mount montreux .	380	114	1	A	267, 380	[267, 380]	[1525, 2084]	1525	2084
6	3	5	to mount saint gallen .	508	251	5	A	258, 287, 316, 364, 395, 508	[258, 287, 316, 364, 395, 508]	[1478, 1627, 1806, 2024, 2165, 2777]	1478	2777
3	3	5	from mount davos to mount	559	21	2	B	539, 541, 559	[539, 541, 559]	[2933, 2949, 3046]	2933	3046
3	3	5	mount davos to mount zermatt	559	329	1	B	259, 559, 587	[259, 559, 587]	[1483, 3047, 3197]	1483	3047
2	2	5	go to mount bern .	576	196	1	A	381, 576	[381, 576]	[2091, 3122]	2091	3122
2	2	5	go to mount davos .	507	91	1	A	417, 507	[417, 507]	[2306, 2769]	2306	2769
2	2	5	go to mount zermatt .	504	105	1	A	400, 504	[400, 504]	[2192, 2757]	2192	2757
2	2	5	go to mount zurich .	319	57	1	A	263, 319	[263, 319]	[1504, 1824]	1504	1824
2	2	5	mount bern to mount luzern	411	53	1	B	359, 411	[359, 411]	[2004, 2268]	2004	2268
9	4	4	mount davos to mount	259	330	1	A	258, 259, 287, 316, 317, 539, 541, 559, 587	[258, 259, 287, 316, 317, 539, 541, 559, 587]	[1476, 1483, 1625, 1804, 1812, 2934, 2950, 3047, 3197]	1476	1483
7	6	4	mount bern to mount	411	189	1	B	359, 411, 413, 473, 500, 546, 547	[359, 411, 413, 473, 500, 546, 547]	[2004, 2261, 2268, 2286, 2585, 2733, 2973, 2980]	2004	2261
6	4	4	to mount davos .	507	170	2	A	417, 492, 507, 535, 556, 586	[417, 492, 507, 535, 556, 586]	[2307, 2685, 2770, 2907, 3032, 3193]	2307	2770
5	3	4	go to mount davos	284	250	1	A	258, 284, 417, 491, 507	[258, 284, 417, 491, 507]	[1474, 1609, 2306, 2676, 2769]	1474	1609
5	5	4	mount basel to mount	346	254	1	B	345, 346, 387, 480, 598	[345, 346, 387, 480, 598]	[1922, 1930, 2123, 2624, 3246]	1922	1930
5	3	4	to mount bern .	381	243	1	B	356, 381, 499, 576, 598	[356, 381, 499, 576, 598]	[1987, 2092, 2727, 3123, 3248]	1987	2092
5	3	4	to mount zurich .	343	279	1	A	263, 319, 343, 500, 541	[263, 319, 343, 500, 541]	[1505, 1825, 1911, 2735, 2952]	1505	1911
4	2	4	go to mount bern	576	198	2	A	381, 413, 576, 578	[381, 413, 576, 578]	[2091, 2284, 3122, 3133]	2091	3122
4	2	4	to mount zermatt .	559	188	1	A	400, 504, 559, 587	[400, 504, 559, 587]	[2193, 2758, 3049, 3199]	2193	3049
3	1	4	, mount montreux .	380	114	2	A	267, 379, 380	[267, 379, 380]	[1527, 2080, 2086]	1527	2086
3	3	4	to mount luzern .	411	104	1	B	399, 411, 502	[399, 411, 502]	[2186, 2270, 2746]	2186	2270
2	2	4	basel to mount zurich	345	3	1	A	343, 345	[343, 345]	[1910, 1923]	1910	1923
2	2	4	from mount interlaken .	477	70	1	B	408, 477	[408, 477]	[2238, 2604]	2238	2604
13	7	3	mount saint gallen	508	329	7	A	258, 287, 316, 364, 366, 395, 492, 508, 535, 556, 557, 585, 586	[258, 287, 316, 364, 366, 395, 492, 508, 535, 556, 557, 585, 586]	[1479, 1628, 1807, 2025, 2035, 2166, 2682, 2778, 2904, 3029, 3039, 3180, 3190]	1479	2778
11	9	3	mount interlaken .	408	372	5	A	230, 232, 274, 331, 355, 408, 427, 473, 477, 547, 601	[230, 232, 274, 331, 355, 408, 427, 473, 477, 547, 601]	[1343, 1354, 1563, 1861, 1982, 2239, 2349, 2588, 2605, 2983, 3265]	1343	2239
10	1	3	mount davos to	289	330	1	A	258, 259, 287, 289, 316, 317, 539, 541, 559, 587	[258, 259, 287, 289, 316, 317, 539, 541, 559, 587]	[1476, 1483, 1625, 1636, 1804, 1812, 2934, 2950, 3047, 3197]	1476	1636
10	1	3	to mount davos	585	329	1	A	258, 284, 417, 491, 492, 507, 535, 556, 585, 586	[258, 284, 417, 491, 492, 507, 535, 556, 585, 586]	[1475, 1610, 2307, 2677, 2685, 2770, 2907, 3032, 3183, 3193]	1475	3183
8	2	3	mount davos .	417	314	1	B	273, 417, 492, 506, 507, 535, 556, 586	[273, 417, 492, 506, 507, 535, 556, 586]	[1557, 2308, 2686, 2765, 2771, 2908, 3033, 3194]	1557	2308
8	4	3	mount zermatt .	328	317	2	A	271, 326, 328, 400, 504, 505, 559, 587	[271, 326, 328, 400, 504, 505, 559, 587]	[1548, 1844, 1853, 2194, 2759, 2762, 3050, 3200]	1548	1853
8	3	3	mount zurich .	319	322	2	A	263, 318, 319, 343, 393, 500, 541, 584	[263, 318, 319, 343, 393, 500, 541, 584]	[1506, 1818, 1826, 1912, 2154, 2736, 2953, 3176]	1506	1826
8	2	3	saint gallen .	508	251	7	A	258, 261, 287, 316, 364, 366, 395, 508	[258, 261, 287, 316, 364, 366, 395, 508]	[1480, 1494, 1629, 1808, 2026, 2039, 2167, 2779]	1480	2779
7	2	3	mount bern .	382	243	1	B	356, 381, 382, 472, 499, 576, 598	[356, 381, 382, 472, 499, 576, 598]	[1988, 2093, 2096, 2579, 2728, 3124, 3249]	1988	2096
7	1	3	to mount zurich	539	279	1	A	263, 319, 343, 345, 500, 539, 541	[263, 319, 343, 345, 500, 539, 541]	[1505, 1825, 1911, 1924, 2735, 2936, 2952]	1505	2936
6	3	3	mount montreux .	407	230	2	A	267, 379, 380, 407, 476, 496	[267, 379, 380, 407, 476, 496]	[1528, 2081, 2087, 2221, 2601, 2713]	1528	2221
6	1	3	to mount zermatt	400	357	2	B	231, 259, 400, 504, 559, 587	[231, 259, 400, 504, 559, 587]	[1346, 1485, 2193, 2758, 3049, 3199]	1346	2193
5	1	3	to mount luzern	411	217	3	B	286, 359, 399, 411, 502	[286, 359, 399, 411, 502]	[1620, 2006, 2186, 2270, 2746]	1620	2270
5	5	3	to mount neuchatel	346	302	1	B	266, 346, 387, 480, 567	[266, 346, 387, 480, 567]	[1516, 1932, 2125, 2626, 3083]	1516	1932
4	4	3	from mount bern	473	215	1	B	332, 473, 500, 546	[332, 473, 500, 546]	[1864, 2584, 2732, 2972]	1864	2584
4	1	3	mount luzern .	411	173	2	B	330, 399, 411, 502	[330, 399, 411, 502]	[1858, 2187, 2271, 2747]	1858	2271
3	1	3	from mount interlaken	408	101	1	A	377, 408, 477	[377, 408, 477]	[2065, 2238, 2604]	2065	2238
3	1	3	mount montreux ,	427	161	1	A	267, 380, 427	[267, 380, 427]	[1525, 2084, 2345]	1525	2345
3	3	3	mount montreux to	568	37	2	A	532, 567, 568	[532, 567, 568]	[2872, 3081, 3087]	2872	3087
2	2	3	go mount interlaken	499	4	1	A	496, 499	[496, 499]	[2710, 2724]	2710	2724
2	2	3	mount luzern to	601	190	1	B	412, 601	[412, 601]	[2279, 3262]	2279	3262
2	2	3	mount neuchatel to	591	2	1	A	590, 591	[590, 591]	[3206, 3212]	3206	3212
2	2	3	no mount davos	287	15	1	B	273, 287	[273, 287]	[1556, 1624]	1556	1624
2	2	3	to mount montreux	476	69	1	B	408, 476	[408, 476]	[2235, 2600]	2235	2600
24	3	2	mount davos	328	330	1	A	258, 259, 273, 284, 287, 289, 316, 317, 328, 364, 417, 491, 492, 506, 507, 531, 535, 539, 541, 556, 559, 585, 586, 587	[258, 259, 273, 284, 287, 289, 316, 317, 328, 364, 417, 491, 492, 506, 507, 531, 535, 539, 541, 556, 559, 585, 586, 587]	[1476, 1483, 1557, 1611, 1625, 1636, 1804, 1812, 1851, 2017, 2308, 2678, 2686, 2765, 2771, 2861, 2908, 2934, 2950, 3033, 3047, 3184, 3194, 3197]	1476	1851
20	6	2	mount interlaken	231	372	1	A	230, 231, 232, 274, 275, 331, 355, 356, 377, 408, 427, 473, 477, 496, 497, 499, 532, 546, 547, 601	[230, 231, 232, 274, 275, 331, 355, 356, 377, 408, 427, 473, 477, 496, 497, 499, 532, 546, 547, 601]	[1343, 1350, 1354, 1563, 1566, 1861, 1982, 1985, 2066, 2239, 2349, 2588, 2605, 2711, 2717, 2725, 2875, 2976, 2983, 3265]	1343	1350
13	8	2	mount basel	345	256	1	A	343, 345, 346, 387, 388, 389, 390, 411, 413, 480, 590, 592, 598	[343, 345, 346, 387, 388, 389, 390, 411, 413, 480, 590, 592, 598]	[1908, 1922, 1930, 2123, 2129, 2138, 2141, 2264, 2289, 2624, 3209, 3217, 3246]	1908	1922
13	3	2	mount zermatt	272	357	2	B	231, 259, 271, 272, 326, 327, 328, 362, 400, 504, 505, 559, 587	[231, 259, 271, 272, 326, 327, 328, 362, 400, 504, 505, 559, 587]	[1347, 1486, 1548, 1551, 1844, 1847, 1853, 2014, 2194, 2759, 2762, 3050, 3200]	1347	1551
