Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
3	3	5	mount bern to mount interlaken	455	296	2	A	160, 241, 455	[160, 241, 455]	[917, 1386, 2480]	917	2480
3	3	5	mount bern to mount luzern	326	74	1	B	254, 326, 327	[254, 326, 327]	[1442, 1817, 1823]	1442	1817
3	3	5	mount gallen to mount davos	450	305	1	A	203, 450, 507	[203, 450, 507]	[1189, 2451, 2766]	1189	2451
3	3	5	mount neuchatel to mount basel	507	213	2	A	295, 417, 507	[295, 417, 507]	[1653, 2282, 2757]	1653	2757
2	2	5	gallen to mount davos .	507	312	1	A	196, 507	[196, 507]	[1146, 2767]	1146	2767
2	2	5	mount zermatt to mount luzern	457	3	1	B	455, 457	[455, 457]	[2475, 2490]	2475	2490
8	2	4	mount bern to mount	160	299	1	B	157, 160, 241, 254, 326, 327, 402, 455	[157, 160, 241, 254, 326, 327, 402, 455]	[895, 917, 1386, 1442, 1817, 1823, 2215, 2480]	895	917
7	7	4	mount zurich to mount	186	390	1	A	118, 186, 201, 329, 394, 450, 507	[118, 186, 201, 329, 394, 450, 507]	[668, 1092, 1176, 1844, 2177, 2448, 2763]	668	1092
5	3	4	to mount davos .	507	434	3	A	118, 130, 196, 507, 551	[118, 130, 196, 507, 551]	[670, 733, 1147, 2768, 3030]	670	2768
4	4	4	mount basel to mount	328	268	1	A	240, 328, 450, 507	[240, 328, 450, 507]	[1377, 1831, 2445, 2760]	1377	1831
4	4	4	mount davos to mount	210	259	1	A	175, 210, 348, 433	[175, 210, 348, 433]	[1008, 1226, 1929, 2371]	1008	1226
4	2	4	mount zermatt to mount	455	239	2	A	219, 387, 455, 457	[219, 387, 455, 457]	[1278, 2137, 2475, 2490]	1278	2475
4	1	4	neuchatel to mount basel	450	213	2	A	295, 417, 450, 507	[295, 417, 450, 507]	[1654, 2283, 2443, 2758]	1654	2443
4	4	4	to mount bern .	313	331	1	A	240, 313, 475, 570	[240, 313, 475, 570]	[1379, 1759, 2598, 3158]	1379	1759
4	4	4	to mount gallen .	201	352	1	A	180, 201, 348, 531	[180, 201, 348, 531]	[1042, 1178, 1931, 2913]	1042	1178
4	4	4	to mount luzern .	327	223	2	B	107, 153, 327, 329	[107, 153, 327, 329]	[622, 866, 1825, 1846]	622	1825
2	2	4	, mount zermatt to	455	355	1	A	101, 455	[101, 455]	[589, 2474]	589	2474
2	2	4	go to mount bern	570	257	1	A	314, 570	[314, 570]	[1765, 3157]	1765	3157
2	2	4	to mount bern ?	567	174	1	A	394, 567	[394, 567]	[2187, 3145]	2187	3145
11	3	3	to mount luzern	326	351	4	B	107, 153, 254, 259, 326, 327, 329, 394, 434, 455, 457	[107, 153, 254, 259, 326, 327, 329, 394, 434, 455, 457]	[622, 866, 1444, 1461, 1819, 1825, 1846, 2179, 2379, 2477, 2492]	622	1819
9	5	3	mount bern .	240	433	2	B	138, 152, 240, 258, 293, 313, 475, 565, 570	[138, 152, 240, 258, 293, 313, 475, 565, 570]	[788, 863, 1380, 1458, 1643, 1760, 2599, 3115, 3159]	788	1380
9	3	3	to mount davos	450	435	5	A	118, 130, 196, 203, 387, 450, 507, 551, 552	[118, 130, 196, 203, 387, 450, 507, 551, 552]	[670, 733, 1147, 1191, 2139, 2453, 2768, 3026, 3030, 3035]	670	2453
8	1	3	mount zurich to	417	390	1	A	118, 186, 201, 329, 394, 417, 450, 507	[118, 186, 201, 329, 394, 417, 450, 507]	[668, 1092, 1176, 1844, 2177, 2289, 2448, 2763]	668	2289
8	4	3	to mount gallen	181	355	2	A	177, 180, 181, 201, 348, 450, 507, 531	[177, 180, 181, 201, 348, 450, 507, 531]	[1033, 1042, 1046, 1178, 1931, 2450, 2765, 2913]	1033	1046
7	3	3	to mount basel	450	289	4	A	236, 295, 402, 417, 450, 507, 524	[236, 295, 402, 417, 450, 507, 524]	[1348, 1655, 2217, 2284, 2444, 2759, 2862]	1348	2444
6	2	3	davos to mount	183	259	2	A	175, 177, 183, 210, 348, 433	[175, 177, 183, 210, 348, 433]	[1009, 1032, 1063, 1227, 1930, 2372]	1009	1063
6	1	3	mount zermatt to	455	357	4	A	101, 106, 219, 387, 455, 457	[101, 106, 219, 387, 455, 457]	[590, 612, 1278, 2137, 2475, 2490]	590	2475
5	1	3	mount luzern .	571	465	2	B	107, 153, 327, 329, 571	[107, 153, 327, 329, 571]	[623, 867, 1826, 1847, 3163]	623	3163
4	1	3	to mount interlaken	563	404	2	A	160, 241, 455, 563	[160, 241, 455, 563]	[919, 1388, 2482, 3105]	919	3105
4	4	3	to mount zermatt	368	224	1	B	210, 368, 375, 433	[210, 368, 375, 433]	[1228, 2036, 2084, 2373]	1228	2036
3	3	3	mount neuchatel .	232	240	1	B	164, 232, 403	[164, 232, 403]	[939, 1335, 2224]	939	1335
2	2	3	from mount interlaken	567	254	1	A	314, 567	[314, 567]	[1769, 3142]	1769	3142
2	2	3	to bern .	595	3	1	A	593, 595	[593, 595]	[3302, 3328]	3302	3328
21	1	2	mount bern	438	433	3	B	138, 152, 157, 160, 240, 241, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570	[138, 152, 157, 160, 240, 241, 254, 258, 293, 313, 314, 326, 327, 394, 402, 438, 455, 475, 565, 567, 570]	[788, 863, 895, 917, 1380, 1386, 1442, 1458, 1643, 1760, 1767, 1817, 1823, 2188, 2215, 2391, 2480, 2599, 3115, 3146, 3159]	788	2391
16	4	2	mount luzern	121	468	2	B	104, 107, 121, 153, 254, 257, 259, 260, 326, 327, 329, 394, 434, 455, 457, 571	[104, 107, 121, 153, 254, 257, 259, 260, 326, 327, 329, 394, 434, 455, 457, 571]	[603, 623, 685, 867, 1445, 1453, 1462, 1468, 1820, 1826, 1847, 2180, 2380, 2478, 2493, 3163]	603	685
15	2	2	mount davos	179	436	3	A	118, 130, 175, 179, 196, 203, 210, 348, 387, 433, 450, 507, 551, 552, 553	[118, 130, 175, 179, 196, 203, 210, 348, 387, 433, 450, 507, 551, 552, 553]	[671, 734, 1008, 1039, 1148, 1192, 1226, 1929, 2140, 2371, 2454, 2769, 3027, 3031, 3036, 3039]	671	1039
14	6	2	mount zurich	118	406	2	B	102, 104, 118, 122, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507	[102, 104, 118, 122, 157, 183, 186, 201, 328, 329, 394, 417, 450, 507]	[598, 606, 668, 701, 898, 1065, 1092, 1176, 1834, 1844, 2177, 2289, 2448, 2763]	598	668
12	2	2	mount zermatt	271	357	2	A	101, 106, 210, 219, 271, 368, 375, 387, 433, 451, 455, 457	[101, 106, 210, 219, 271, 368, 375, 387, 433, 451, 455, 457]	[590, 612, 1229, 1278, 1544, 2037, 2085, 2137, 2374, 2456, 2475, 2490]	590	1544
