Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterance_no_list
4	4	4	bern to interlaken .	118	204	1	A	117, 118, 310, 320	[117, 118, 310, 320]
4	4	4	to mount bern .	217	210	1	A	19, 217, 226, 228	[19, 217, 226, 228]
3	3	4	basel to neuchatel .	103	68	1	B	49, 103, 116	[49, 103, 116]
3	3	4	to saint gallen .	288	277	2	A	12, 16, 288	[12, 16, 288]
2	2	4	bern to basel .	329	167	1	B	163, 329	[163, 329]
2	2	4	bern to mount interlaken	168	111	1	B	58, 168	[58, 168]
2	2	4	to mount basel .	154	134	1	A	21, 154	[21, 154]
2	2	4	zurich to bern .	308	76	1	A	233, 308	[233, 308]
8	4	3	to interlaken .	211	204	1	A	117, 118, 211, 310, 312, 313, 314, 320	[117, 118, 211, 310, 312, 313, 314, 320]
8	5	3	to neuchatel .	114	216	1	B	49, 103, 114, 116, 123, 203, 263, 264	[49, 103, 114, 116, 123, 203, 263, 264]
7	7	3	mount bern to	34	148	2	A	21, 28, 34, 35, 87, 99, 168	[21, 28, 34, 35, 87, 99, 168]
6	3	3	to saint gallen	288	280	4	A	12, 16, 134, 136, 288, 291	[12, 16, 134, 136, 288, 291]
5	1	3	to mount bern	224	210	1	A	19, 217, 224, 226, 228	[19, 217, 224, 226, 228]
4	2	3	bern to basel	100	231	1	B	99, 100, 163, 329	[99, 100, 163, 329]
4	1	3	saint gallen .	290	279	2	A	12, 16, 288, 290	[12, 16, 288, 290]
4	2	3	to basel .	163	308	1	A	24, 163, 329, 331	[24, 163, 329, 331]
4	4	3	to mount davos	62	96	2	A	44, 45, 62, 139	[44, 45, 62, 139]
3	1	3	bern to mount	58	148	1	A	21, 58, 168	[21, 58, 168]
3	3	3	interlaken , to	123	75	1	B	119, 123, 193	[119, 123, 193]
3	1	3	to bern .	308	76	2	A	233, 298, 308	[233, 298, 308]
2	2	3	luzern to davos	283	2	1	B	282, 283	[282, 283]
2	2	3	mount luzern to	282	241	1	A	42, 282	[42, 282]
2	2	3	to luzern .	192	165	1	A	28, 192	[28, 192]
2	1	3	to mount basel	154	134	1	A	21, 154	[21, 154]
2	2	3	zermatt to davos	286	2	1	B	285, 286	[285, 286]
2	2	3	zurich to mount	154	136	1	A	19, 154	[19, 154]
16	1	2	bern to	311	309	2	A	21, 28, 34, 35, 58, 87, 99, 100, 117, 118, 163, 168, 310, 311, 320, 329	[21, 28, 34, 35, 58, 87, 99, 100, 117, 118, 163, 168, 310, 311, 320, 329]
11	8	2	luzern to	282	273	5	A	42, 45, 131, 174, 226, 282, 283, 298, 300, 312, 314	[42, 45, 131, 174, 226, 282, 283, 298, 300, 312, 314]
10	2	2	neuchatel .	103	218	2	B	47, 49, 103, 114, 116, 123, 203, 204, 263, 264	[47, 49, 103, 114, 116, 123, 203, 204, 263, 264]
10	3	2	saint gallen	139	287	6	A	5, 12, 16, 43, 134, 136, 139, 288, 290, 291	[5, 12, 16, 43, 134, 136, 139, 288, 290, 291]
10	2	2	to interlaken	118	223	2	A	98, 117, 118, 211, 257, 310, 312, 313, 314, 320	[98, 117, 118, 211, 257, 310, 312, 313, 314, 320]
10	2	2	to neuchatel	115	216	1	B	49, 103, 114, 115, 116, 123, 165, 203, 263, 264	[49, 103, 114, 115, 116, 123, 165, 203, 263, 264]
8	1	2	bern .	321	303	1	A	19, 217, 226, 228, 233, 298, 308, 321	[19, 217, 226, 228, 233, 298, 308, 321]
8	3	2	to basel	162	308	1	A	24, 99, 100, 162, 163, 272, 329, 331	[24, 99, 100, 162, 163, 272, 329, 331]
8	4	2	zurich to	154	297	5	A	12, 16, 19, 134, 136, 154, 233, 308	[12, 16, 19, 134, 136, 154, 233, 308]
