Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterance_no_list
7	1	2	basel .	273	311	2	A	21, 24, 154, 163, 273, 329, 331	[21, 24, 154, 163, 273, 329, 331]
7	5	2	mount basel	32	134	1	A	21, 32, 33, 47, 49, 116, 154	[21, 32, 33, 47, 49, 116, 154]
6	3	2	basel to	103	178	2	B	47, 49, 103, 116, 154, 224	[47, 49, 103, 116, 154, 224]
5	3	2	luzern .	64	165	2	A	28, 30, 64, 89, 192	[28, 30, 64, 89, 192]
5	1	2	mount davos	78	96	2	A	44, 45, 62, 78, 139	[44, 45, 62, 78, 139]
5	4	2	to luzern	192	251	2	A	28, 35, 192, 193, 278	[28, 35, 192, 193, 278]
4	2	2	mount luzern	42	249	1	B	34, 42, 64, 282	[34, 42, 64, 282]
3	2	2	mount interlaken	123	111	1	B	58, 123, 168	[58, 123, 168]
3	1	2	to bern	308	76	2	A	233, 298, 308	[233, 298, 308]
3	3	2	to montreux	169	52	1	B	119, 169, 170	[119, 169, 170]
3	3	2	to zurich	229	212	1	B	89, 229, 300	[89, 229, 300]
2	2	2	and luzern	174	86	1	B	89, 174	[89, 174]
2	2	2	neuchatel to	215	5	1	B	211, 215	[211, 215]
2	2	2	uh zurich	308	175	1	A	134, 308	[134, 308]
27	2	1	bern	23	311	2	A	19, 21, 23, 28, 34, 35, 58, 87, 99, 100, 113, 117, 118, 163, 168, 217, 224, 226, 228, 233, 298, 308, 310, 311, 320, 321, 329	[19, 21, 23, 28, 34, 35, 58, 87, 99, 100, 113, 117, 118, 163, 168, 217, 224, 226, 228, 233, 298, 308, 310, 311, 320, 321, 329]
23	6	1	basel	48	311	2	A	21, 24, 32, 33, 47, 48, 49, 88, 89, 97, 99, 100, 103, 116, 154, 162, 163, 222, 224, 272, 273, 329, 331	[21, 24, 32, 33, 47, 48, 49, 88, 89, 97, 99, 100, 103, 116, 154, 162, 163, 222, 224, 272, 273, 329, 331]
22	2	1	luzern	279	287	2	A	28, 30, 34, 35, 42, 45, 64, 89, 131, 174, 192, 193, 226, 278, 279, 282, 283, 284, 298, 300, 312, 314	[28, 30, 34, 35, 42, 45, 64, 89, 131, 174, 192, 193, 226, 278, 279, 282, 283, 284, 298, 300, 312, 314]
19	4	1	interlaken	98	263	2	B	58, 89, 98, 117, 118, 119, 123, 168, 192, 193, 196, 211, 217, 257, 310, 312, 313, 314, 320	[58, 89, 98, 117, 118, 119, 123, 168, 192, 193, 196, 211, 217, 257, 310, 312, 313, 314, 320]
16	2	1	neuchatel	103	218	3	B	47, 49, 53, 103, 114, 115, 116, 119, 123, 165, 203, 204, 211, 215, 263, 264	[47, 49, 53, 103, 114, 115, 116, 119, 123, 165, 203, 204, 211, 215, 263, 264]
13	2	1	zurich	89	304	4	A	5, 12, 16, 19, 89, 134, 136, 154, 229, 230, 233, 300, 308	[5, 12, 16, 19, 89, 134, 136, 154, 229, 230, 233, 300, 308]
10	1	1	davos	291	248	2	A	44, 45, 62, 78, 139, 282, 283, 285, 286, 291	[44, 45, 62, 78, 139, 282, 283, 285, 286, 291]
8	6	1	montreux	59	256	1	B	58, 59, 119, 169, 170, 251, 264, 313	[58, 59, 119, 169, 170, 251, 264, 313]
7	5	1	zermatt	285	283	4	A	42, 131, 174, 251, 285, 286, 324	[42, 131, 174, 251, 285, 286, 324]
