Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
3	3	5	zurich to saint gallen .	213	4	2	B	210, 212, 213	[210, 212, 213]	[1300, 1312, 1317]	1300	1317
2	2	5	saint gallen to luzern .	276	2	1	B	275, 276	[275, 276]	[1632, 1637]	1632	1637
4	4	4	saint gallen to davos	179	333	2	B	174, 176, 179, 506	[174, 176, 179, 506]	[1095, 1105, 1118, 2920]	1095	1118
4	1	4	zurich to saint gallen	449	240	2	B	210, 212, 213, 449	[210, 212, 213, 449]	[1300, 1312, 1317, 2571]	1300	2571
3	3	4	bern to basel .	323	312	2	B	12, 322, 323	[12, 322, 323]	[56, 1880, 1884]	56	1884
3	3	4	go to bern .	144	5	2	B	140, 142, 144	[140, 142, 144]	[861, 868, 885]	861	885
2	2	4	neuchatel to interlaken .	415	384	1	A	32, 415	[32, 415]	[162, 2418]	162	2418
12	10	3	to luzern .	188	471	1	B	31, 188, 258, 275, 276, 278, 332, 334, 336, 460, 499, 501	[31, 188, 258, 275, 276, 278, 332, 334, 336, 460, 499, 501]	[144, 1201, 1570, 1634, 1639, 1647, 1934, 1950, 1971, 2648, 2877, 2887]	144	1201
8	5	3	to bern .	126	312	1	B	125, 126, 140, 142, 143, 144, 308, 436	[125, 126, 140, 142, 143, 144, 308, 436]	[764, 768, 862, 869, 877, 886, 1802, 2506]	764	768
7	1	3	saint gallen to	177	333	2	B	174, 176, 177, 179, 275, 276, 506	[174, 176, 177, 179, 275, 276, 506]	[1095, 1105, 1110, 1118, 1632, 1637, 2920]	1095	1110
6	3	3	saint gallen .	213	236	4	B	39, 145, 210, 212, 213, 274	[39, 145, 210, 212, 213, 274]	[200, 896, 1302, 1314, 1319, 1626]	200	1319
6	4	3	to interlaken .	32	401	1	B	15, 32, 127, 252, 355, 415	[15, 32, 127, 252, 355, 415]	[73, 163, 774, 1530, 2100, 2419]	73	163
5	1	3	to saint gallen	476	267	2	B	210, 212, 213, 449, 476	[210, 212, 213, 449, 476]	[1301, 1313, 1318, 2572, 2743]	1301	2743
4	1	3	bern to basel	32	312	1	B	12, 32, 322, 323	[12, 32, 322, 323]	[56, 158, 1880, 1884]	56	158
4	1	3	go to bern	434	295	2	B	140, 142, 144, 434	[140, 142, 144, 434]	[861, 868, 885, 2499]	861	2499
4	4	3	go to zurich	307	309	2	B	145, 258, 307, 453	[145, 258, 307, 453]	[892, 1562, 1798, 2610]	892	1798
4	4	3	mount davos to	182	203	1	B	80, 182, 188, 282	[80, 182, 188, 282]	[435, 1158, 1199, 1662]	435	1158
4	1	3	to basel .	323	312	3	B	12, 167, 322, 323	[12, 167, 322, 323]	[57, 1033, 1881, 1885]	57	1885
3	3	3	basel to zurich	211	314	1	B	210, 211, 523	[210, 211, 523]	[1294, 1307, 3006]	1294	1307
3	3	3	bern to zurich	259	93	2	B	167, 169, 259	[167, 169, 259]	[1028, 1050, 1575]	1028	1575
3	1	3	neuchatel to interlaken	417	386	1	A	32, 415, 417	[32, 415, 417]	[162, 2418, 2424]	162	2424
2	2	3	interlaken to zermatt	486	2	1	B	485, 486	[485, 486]	[2819, 2823]	2819	2823
2	2	3	mount bern .	10	9	1	B	2, 10	[2, 10]	[6, 45]	6	45
2	2	3	to interlaken ,	357	235	1	B	123, 357	[123, 357]	[750, 2104]	750	2104
2	2	3	to montreux .	344	94	1	A	251, 344	[251, 344]	[1525, 2035]	1525	2035
2	2	3	to mount luzern	184	3	1	A	182, 184	[182, 184]	[1160, 1163, 1176]	1160	1176
18	3	2	saint gallen	177	468	5	B	39, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 449, 476, 477, 506	[39, 145, 148, 174, 176, 177, 179, 210, 212, 213, 228, 274, 275, 276, 449, 476, 477, 506]	[200, 896, 919, 1095, 1105, 1110, 1118, 1302, 1314, 1319, 1396, 1626, 1632, 1637, 2573, 2744, 2754, 2920]	200	1110
