Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
2	2	6	mount basel to mount bern .	198	2	1	B	197, 198	[197, 198]	[1084, 1090]	1084	1090
3	3	5	, zurich to luzern .	421	237	1	B	224, 421, 460	[224, 421, 460]	[1230, 2173, 2355]	1230	2173
5	2	4	zurich to luzern .	428	237	1	B	224, 421, 428, 436, 460	[224, 421, 428, 436, 460]	[1231, 2174, 2204, 2247, 2356]	1231	2204
4	4	4	neuchatel to montreux .	419	111	3	A	309, 312, 418, 419	[309, 312, 418, 419]	[1636, 1650, 2149, 2153]	1636	2153
3	3	4	interlaken to zermatt .	400	5	1	B	399, 400, 403	[399, 400, 403]	[2073, 2077, 2089]	2073	2077
3	3	4	mount saint gallen .	52	5	1	B	50, 52, 54	[50, 52, 54]	[295, 315, 325]	295	315
3	1	4	to mount bern .	197	76	1	A	123, 197, 198	[123, 197, 198]	[721, 1086, 1092]	721	1086
2	2	4	luzern to zermatt .	233	2	1	B	232, 233	[232, 233]	[1261, 1265]	1261	1265
2	2	4	to saint gallen .	253	42	1	B	212, 253	[212, 253]	[1151, 1368]	1151	1368
2	2	4	zurich to bern .	481	2	1	B	480, 481	[480, 481]	[2459, 2463]	2459	2463
9	4	3	to luzern .	421	237	4	B	224, 226, 346, 349, 421, 423, 428, 436, 460	[224, 226, 346, 349, 421, 423, 428, 436, 460]	[1232, 1236, 1834, 1847, 2175, 2181, 2205, 2248, 2357]	1232	2175
8	3	3	saint gallen .	207	426	1	B	50, 52, 54, 207, 212, 249, 253, 475	[50, 52, 54, 207, 212, 249, 253, 475]	[296, 316, 326, 1127, 1152, 1335, 1369, 2434]	296	1127
6	6	3	to davos .	335	306	3	A	162, 205, 209, 335, 336, 467	[162, 205, 209, 335, 336, 467]	[912, 1121, 1134, 1782, 1786, 2393]	912	1782
6	2	3	to montreux .	411	118	3	A	302, 309, 312, 411, 418, 419	[302, 309, 312, 411, 418, 419]	[1603, 1637, 1651, 2124, 2150, 2154]	1603	2124
4	1	3	mount bern .	197	76	2	A	123, 126, 197, 198	[123, 126, 197, 198]	[722, 733, 1087, 1093]	722	1087
4	1	3	to mount bern	197	79	2	A	120, 123, 197, 198	[120, 123, 197, 198]	[708, 721, 1086, 1092]	708	1086
4	4	3	zermatt to davos	260	213	1	A	257, 260, 467, 469	[257, 260, 467, 469]	[1387, 1405, 2392, 2399]	1387	1405
3	1	3	mount basel to	314	118	1	B	197, 198, 314	[197, 198, 314]	[1084, 1090, 1662]	1084	1662
3	1	3	to bern .	481	187	2	B	295, 480, 481	[295, 480, 481]	[1575, 2460, 2464]	1575	2464
3	1	3	to saint gallen	249	42	1	B	212, 249, 253	[212, 249, 253]	[1151, 1332, 1368]	1151	1332
12	3	2	luzern .	421	237	6	B	224, 226, 241, 264, 346, 349, 421, 423, 426, 428, 436, 460	[224, 226, 241, 264, 346, 349, 421, 423, 426, 428, 436, 460]	[1233, 1237, 1301, 1426, 1835, 1848, 2176, 2182, 2198, 2206, 2249, 2358]	1233	2176
12	5	2	zurich to	248	258	1	B	224, 248, 252, 336, 421, 428, 436, 460, 473, 474, 480, 481	[224, 248, 252, 336, 421, 428, 436, 460, 473, 474, 480, 481]	[1231, 1328, 1366, 1785, 2174, 2204, 2247, 2356, 2424, 2428, 2459, 2463]	1231	1328
10	2	2	gallen .	206	426	1	B	50, 52, 54, 206, 207, 212, 249, 253, 473, 475	[50, 52, 54, 206, 207, 212, 249, 253, 473, 475]	[297, 317, 327, 1124, 1128, 1153, 1336, 1370, 2426, 2435]	297	1124
9	3	2	montreux .	411	118	4	A	302, 304, 309, 312, 411, 412, 413, 418, 419	[302, 304, 309, 312, 411, 412, 413, 418, 419]	[1604, 1609, 1638, 1652, 2125, 2127, 2130, 2151, 2155]	1604	2125
9	2	2	saint gallen	208	426	1	B	50, 52, 54, 207, 208, 212, 249, 253, 475	[50, 52, 54, 207, 208, 212, 249, 253, 475]	[296, 316, 326, 1127, 1130, 1152, 1333, 1335, 1369, 2432, 2434]	296	1130
7	1	2	davos .	165	306	1	A	162, 165, 205, 209, 335, 336, 467	[162, 165, 205, 209, 335, 336, 467]	[913, 925, 1122, 1135, 1783, 1787, 2394]	913	925
7	3	2	neuchatel to	303	300	2	A	120, 121, 303, 309, 312, 418, 419	[120, 121, 303, 309, 312, 418, 419]	[707, 715, 1606, 1636, 1650, 2149, 2153]	707	1606
7	2	2	zermatt .	233	222	3	B	182, 184, 232, 233, 399, 400, 403	[182, 184, 232, 233, 399, 400, 403]	[1029, 1037, 1263, 1267, 2075, 2079, 2091]	1029	1267
7	3	2	zermatt to	260	253	2	A	217, 257, 260, 411, 435, 467, 469	[217, 257, 260, 411, 435, 467, 469]	[1181, 1387, 1405, 2123, 2240, 2392, 2399]	1181	1405
6	1	2	mount bern	197	147	4	A	52, 120, 123, 126, 197, 198	[52, 120, 123, 126, 197, 198]	[309, 709, 722, 733, 1087, 1093]	309	1087
5	2	2	basel to	288	118	1	B	197, 198, 288, 295, 314	[197, 198, 288, 295, 314]	[1085, 1091, 1553, 1574, 1663]	1085	1553
5	2	2	interlaken to	239	166	1	A	238, 239, 399, 400, 403	[238, 239, 399, 400, 403]	[1291, 1295, 2073, 2077, 2089]	1291	1295
4	4	2	zurich .	430	207	2	B	250, 288, 430, 456	[250, 288, 430, 456]	[1344, 1555, 2215, 2323]	1344	2215
3	1	2	luzern to	456	225	1	B	232, 233, 456	[232, 233, 456]	[1261, 1265, 2321]	1261	2321
3	3	2	mount neuchatel	310	67	2	A	244, 309, 310	[244, 309, 310]	[1312, 1635, 1640]	1312	1640
3	3	2	mount zurich	251	203	1	B	50, 251, 252	[50, 251, 252]	[292, 1348, 1365]	292	1348
3	3	2	neuchatel .	238	100	1	B	141, 238, 240	[141, 238, 240]	[799, 1293, 1297]	799	1293
3	3	2	um neuchatel	302	278	1	B	141, 302, 418	[141, 302, 418]	[798, 1600, 2148]	798	1600
2	2	2	davos ?	257	95	1	B	163, 257	[163, 257]	[917, 1389]	917	1389
2	2	2	neuchatel ,	302	58	1	B	245, 302	[245, 302]	[1316, 1601]	1316	1601
2	2	2	to neuchatel	314	77	1	A	238, 314	[238, 314]	[1292, 1664]	1292	1664
