Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns	utterances	tokens	priming_token	establish_token
2	2	7	s t gallen and i think we	268	32	1	B	237, 268	[237, 268]	[1175, 1302]	1175	1302
3	3	5	mount basel to mount zurich	404	311	1	A	117, 404, 427	[117, 404, 427]	[553, 2018, 2133]	553	2018
2	2	5	, s t gallen .	371	195	1	A	177, 371	[177, 371]	[817, 1874]	817	1874
2	2	5	mount neuchatel to mount interlaken	311	2	1	A	310, 311	[310, 311]	[1585, 1591]	1585	1591
5	3	4	s t gallen .	177	330	2	B	42, 73, 177, 321, 371	[42, 73, 177, 321, 371]	[184, 359, 818, 1665, 1875]	184	818
5	5	4	to mount zurich .	218	311	1	A	117, 218, 372, 414, 427	[117, 218, 372, 414, 427]	[555, 1069, 1886, 2070, 2135]	555	1069
4	1	4	mount basel to mount	189	311	1	A	117, 189, 404, 427	[117, 189, 404, 427]	[553, 878, 2018, 2133]	553	878
4	4	4	to mount davos .	209	383	1	A	18, 209, 266, 400	[18, 209, 266, 400]	[58, 1006, 1293, 1994]	58	1006
3	1	4	s t gallen and	268	200	2	B	69, 237, 268	[69, 237, 268]	[314, 1175, 1302]	314	1302
2	2	4	, mount luzern to	245	28	1	B	218, 245	[218, 245]	[1066, 1222]	1066	1222
2	2	4	gallen to mount davos	275	267	1	A	9, 275	[9, 275]	[24, 1340]	24	1340
2	2	4	maybe to mount basel	277	92	1	B	186, 277	[186, 277]	[867, 1362]	867	1362
2	2	4	mount zurich to mount	73	6	1	A	68, 73	[68, 73]	[297, 355]	297	355
12	4	3	s t gallen	177	330	4	B	42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371	[42, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371]	[184, 314, 359, 601, 818, 827, 1175, 1302, 1312, 1338, 1349, 1665, 1875]	184	818
9	3	3	to mount davos	160	392	2	A	9, 18, 160, 209, 265, 266, 275, 320, 400	[9, 18, 160, 209, 265, 266, 275, 320, 400]	[25, 58, 702, 1006, 1287, 1293, 1341, 1660, 1994]	25	702
7	1	3	to mount zurich	275	311	1	A	117, 218, 275, 372, 404, 414, 427	[117, 218, 275, 372, 404, 414, 427]	[555, 1069, 1352, 1886, 2020, 2070, 2135]	555	1352
6	4	3	mount luzern to	245	135	4	B	112, 197, 218, 222, 245, 246	[112, 197, 218, 222, 245, 246]	[517, 916, 1067, 1082, 1223, 1233]	517	1223
6	6	3	mount zermatt to	201	312	1	B	106, 201, 204, 206, 266, 417	[106, 201, 204, 206, 266, 417]	[499, 946, 970, 996, 1291, 2079]	499	946
6	1	3	mount zurich .	218	311	2	A	117, 122, 218, 372, 414, 427	[117, 122, 218, 372, 414, 427]	[556, 573, 1070, 1887, 2071, 2136]	556	1070
6	4	3	to mount basel	186	238	2	A	117, 156, 186, 277, 327, 354	[117, 156, 186, 277, 327, 354]	[552, 688, 868, 1363, 1685, 1785]	552	868
6	6	3	to mount bern	184	244	1	B	112, 184, 194, 224, 325, 355	[112, 184, 194, 224, 325, 355]	[519, 854, 905, 1087, 1674, 1792]	519	854
5	1	3	basel to mount	120	311	1	A	117, 120, 189, 404, 427	[117, 120, 189, 404, 427]	[554, 565, 879, 2019, 2134]	554	565
5	1	3	mount basel to	229	311	1	A	117, 189, 229, 404, 427	[117, 189, 229, 404, 427]	[553, 878, 1125, 2018, 2133]	553	1125
5	1	3	mount davos .	296	383	1	A	18, 209, 266, 296, 400	[18, 209, 266, 296, 400]	[59, 1007, 1294, 1499, 1995]	59	1499
5	5	3	to mount luzern	199	191	1	B	145, 199, 206, 319, 335	[145, 199, 206, 319, 335]	[650, 926, 998, 1645, 1727]	650	926
5	5	3	to mount zermatt	261	97	1	A	201, 261, 280, 281, 297	[201, 261, 280, 281, 297]	[945, 1276, 1430, 1439, 1512]	945	1276
4	4	3	mount bern .	325	165	2	A	194, 224, 325, 358	[194, 224, 325, 358]	[906, 1088, 1679, 1810]	906	1679
4	4	3	to mount neuchatel	288	191	2	B	120, 189, 288, 310	[120, 189, 288, 310]	[566, 880, 1474, 1584]	566	1474
3	1	3	, mount luzern	319	102	1	B	218, 245, 319	[218, 245, 319]	[1066, 1222, 1648]	1066	1648
3	2	3	gallen to mount	179	267	1	A	9, 179, 275	[9, 179, 275]	[24, 829, 1340, 1351]	24	829
3	3	3	mount luzern .	242	44	2	A	199, 204, 242	[199, 204, 242]	[927, 974, 1215]	927	1215
3	3	3	mount zermatt .	261	53	1	A	245, 261, 297	[245, 261, 297]	[1227, 1277, 1513]	1227	1277
3	1	3	neuchatel to mount	413	104	1	A	310, 311, 413	[310, 311, 413]	[1586, 1592, 2067]	1586	2067
3	1	3	to mount interlaken	346	37	1	A	310, 311, 346	[310, 311, 346]	[1587, 1593, 1761]	1587	1761
3	1	3	zurich to mount	400	333	1	A	68, 73, 400	[68, 73, 400]	[298, 356, 1993]	298	1993
2	2	3	, neuchatel .	286	58	1	B	229, 286	[229, 286]	[1133, 1459]	1133	1459
2	2	3	mount bern ?	184	88	1	B	97, 184	[97, 184]	[472, 855]	472	855
16	6	2	mount davos	69	392	2	A	9, 18, 69, 160, 176, 209, 235, 265, 266, 275, 294, 295, 296, 297, 320, 400	[9, 18, 69, 160, 176, 209, 235, 265, 266, 275, 294, 295, 296, 297, 320, 400]	[26, 59, 310, 703, 804, 1007, 1163, 1165, 1167, 1288, 1294, 1342, 1492, 1494, 1499, 1510, 1661, 1995]	26	310
16	5	2	mount zermatt	175	312	1	B	106, 175, 201, 204, 205, 206, 227, 234, 245, 261, 266, 274, 280, 281, 297, 417	[106, 175, 201, 204, 205, 206, 227, 234, 245, 261, 266, 274, 280, 281, 297, 417]	[499, 798, 946, 970, 979, 996, 1105, 1156, 1227, 1277, 1291, 1336, 1431, 1440, 1513, 2079]	499	798
14	4	2	mount basel	119	311	1	A	117, 119, 156, 157, 186, 189, 227, 229, 250, 277, 327, 354, 404, 427	[117, 119, 156, 157, 186, 189, 227, 229, 250, 277, 327, 354, 404, 427]	[553, 563, 689, 692, 869, 878, 1111, 1125, 1245, 1247, 1364, 1686, 1786, 2018, 2133]	553	563
14	2	2	mount luzern	210	224	3	B	112, 145, 197, 199, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335	[112, 145, 197, 199, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335]	[517, 651, 916, 927, 974, 999, 1014, 1067, 1082, 1207, 1215, 1223, 1233, 1646, 1649, 1728]	517	1014
11	4	2	mount bern	184	262	3	B	97, 112, 115, 184, 185, 194, 224, 227, 325, 355, 358	[97, 112, 115, 184, 185, 194, 224, 227, 325, 355, 358]	[472, 520, 537, 855, 858, 906, 1088, 1115, 1675, 1679, 1793, 1808, 1810]	472	855
11	1	2	mount zurich	278	360	1	A	68, 73, 117, 122, 218, 275, 278, 372, 404, 414, 427	[68, 73, 117, 122, 218, 275, 278, 372, 404, 414, 427]	[297, 355, 556, 573, 1070, 1353, 1383, 1887, 2021, 2071, 2136]	297	1383
10	4	2	zurich .	123	311	3	A	117, 121, 122, 123, 180, 183, 218, 372, 414, 427	[117, 121, 122, 123, 180, 183, 218, 372, 414, 427]	[557, 570, 574, 577, 832, 850, 1071, 1888, 2072, 2137]	557	577
9	6	2	zermatt .	261	268	3	A	102, 104, 245, 261, 262, 263, 297, 338, 369	[102, 104, 245, 261, 262, 263, 297, 338, 369]	[488, 492, 1228, 1278, 1280, 1282, 1514, 1740, 1850]	488	1278
8	4	2	bern .	167	261	2	B	98, 154, 167, 194, 224, 247, 325, 358	[98, 154, 167, 194, 224, 247, 325, 358]	[479, 684, 739, 907, 1089, 1240, 1680, 1811]	479	739
8	5	2	luzern .	182	228	2	B	108, 109, 182, 199, 201, 204, 242, 335	[108, 109, 182, 199, 201, 204, 242, 335]	[503, 505, 840, 928, 949, 975, 1216, 1731]	503	840
7	1	2	zermatt to	201	312	2	B	106, 145, 201, 204, 206, 266, 417	[106, 145, 201, 204, 206, 266, 417]	[500, 649, 947, 971, 997, 1292, 2080]	500	947
6	1	2	gallen .	383	342	2	B	42, 73, 177, 321, 371, 383	[42, 73, 177, 321, 371, 383]	[186, 361, 820, 1667, 1877, 1929]	186	1929
6	3	2	mount interlaken	310	249	3	B	98, 227, 261, 310, 311, 346	[98, 227, 261, 310, 311, 346]	[476, 1108, 1274, 1588, 1594, 1762]	476	1588
6	1	2	mount neuchatel	288	192	3	B	120, 189, 231, 288, 310, 311	[120, 189, 231, 288, 310, 311]	[567, 881, 1144, 1475, 1585, 1591]	567	1475
6	4	2	neuchatel .	254	171	2	B	120, 229, 254, 255, 286, 290	[120, 229, 254, 255, 286, 290]	[568, 1134, 1255, 1259, 1460, 1480]	568	1255
4	4	2	basel .	374	189	3	B	186, 250, 354, 374	[186, 250, 354, 374]	[870, 1248, 1787, 1895]	870	1895
4	1	2	neuchatel to	310	225	1	B	189, 310, 311, 413	[189, 310, 311, 413]	[885, 1586, 1592, 2067]	885	1586
3	1	2	bern ?	184	90	2	B	95, 97, 184	[95, 97, 184]	[464, 473, 856]	464	856
3	3	2	mount montreux	312	155	1	B	190, 312, 344	[190, 312, 344]	[887, 1607, 1754]	887	1607
3	3	2	zermatt ?	175	274	1	B	8, 175, 281	[8, 175, 281]	[22, 799, 1441]	22	799
24	1	1	zermatt	338	410	1	B	8, 102, 104, 106, 145, 175, 201, 204, 205, 206, 227, 234, 245, 261, 262, 263, 266, 274, 280, 281, 297, 338, 369, 417	[8, 102, 104, 106, 145, 175, 201, 204, 205, 206, 227, 234, 245, 261, 262, 263, 266, 274, 280, 281, 297, 338, 369, 417]	[22, 488, 492, 500, 649, 799, 947, 971, 980, 997, 1106, 1157, 1228, 1278, 1280, 1282, 1292, 1337, 1432, 1441, 1514, 1738, 1739, 1740, 1850, 2080]	22	1738
20	2	1	luzern	182	233	6	B	103, 108, 109, 112, 145, 181, 182, 197, 199, 201, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335	[103, 108, 109, 112, 145, 181, 182, 197, 199, 201, 204, 206, 210, 218, 222, 242, 245, 246, 319, 335]	[490, 503, 505, 518, 652, 835, 840, 917, 928, 949, 975, 1000, 1015, 1068, 1083, 1208, 1216, 1224, 1234, 1647, 1650, 1729, 1731]	490	840
20	4	1	zurich	125	360	1	A	68, 73, 117, 121, 122, 123, 125, 128, 134, 180, 183, 218, 246, 275, 278, 372, 400, 404, 414, 427	[68, 73, 117, 121, 122, 123, 125, 128, 134, 180, 183, 218, 246, 275, 278, 372, 400, 404, 414, 427]	[298, 356, 557, 570, 574, 577, 581, 590, 607, 832, 850, 1071, 1236, 1354, 1384, 1888, 1993, 2022, 2072, 2137]	298	581
19	3	1	basel	278	311	1	A	117, 119, 120, 156, 157, 186, 189, 227, 229, 250, 277, 278, 327, 328, 354, 374, 376, 404, 427	[117, 119, 120, 156, 157, 186, 189, 227, 229, 250, 277, 278, 327, 328, 354, 374, 376, 404, 427]	[554, 564, 565, 690, 693, 870, 879, 1112, 1126, 1246, 1248, 1365, 1396, 1687, 1693, 1787, 1895, 1898, 2019, 2134]	554	1396
19	5	1	bern	167	264	6	B	95, 97, 98, 112, 115, 154, 167, 184, 185, 194, 223, 224, 225, 227, 247, 325, 343, 355, 358	[95, 97, 98, 112, 115, 154, 167, 184, 185, 194, 223, 224, 225, 227, 247, 325, 343, 355, 358]	[462, 464, 473, 479, 521, 538, 684, 739, 856, 859, 907, 1086, 1089, 1091, 1092, 1116, 1240, 1676, 1677, 1678, 1680, 1751, 1794, 1809, 1811]	462	739
17	3	1	gallen	17	375	2	A	9, 14, 17, 42, 68, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371, 383	[9, 14, 17, 42, 68, 69, 73, 132, 177, 179, 237, 268, 269, 275, 321, 371, 383]	[24, 37, 50, 186, 301, 316, 361, 603, 820, 829, 1177, 1304, 1314, 1340, 1351, 1667, 1877, 1929]	24	50
13	1	1	neuchatel	380	294	4	B	120, 189, 229, 231, 254, 255, 286, 288, 290, 310, 311, 380, 413	[120, 189, 229, 231, 254, 255, 286, 288, 290, 310, 311, 380, 413]	[568, 882, 885, 1134, 1145, 1255, 1259, 1460, 1476, 1480, 1586, 1592, 1919, 2067]	568	1919
9	3	1	interlaken	257	287	2	B	98, 227, 257, 261, 310, 311, 346, 350, 384	[98, 227, 257, 261, 310, 311, 346, 350, 384]	[477, 1109, 1266, 1275, 1589, 1595, 1763, 1774, 1931]	477	1266
